customer_id,company_id,customer_name,email,cpf,birth_date,phone,role,created_at
CUST00020,COMP00064,Ryan Cunha,valentim54@example.net,697.246.337-69,1988-10-13,+55 84 8083-1367,OPERATOR,2021-10-13 00:00:00
CUST00021,COMP00059,Isabella Sales,tramos@example.com,361.782.109-69,1978-05-30,+55 (031) 1436 3495,OPERATOR,2024-08-04 00:00:00
CUST00022,COMP00087,Vitória Ferreira,jsouza@example.com,659.261.175-66,1974-06-17,(051) 4443-1351,OPERATOR,2021-09-23 00:00:00
CUST00023,COMP00076,Dra. Ester Correia,maria-sophiada-mota@example.net,406.754.534-98,1984-03-17,51 9413 4352,OPERATOR,2023-01-18 00:00:00
CUST00024,COMP00059,Anthony Gabriel Santos,yanaparecida@example.org,965.409.303-59,1982-09-22,+55 81 7109 4777,FINANCIAL,2024-08-04 00:00:00
CUST00025,COMP00014,Sr. Benjamim da Cunha,ecamargo@example.com,342.490.685-55,1980-03-13,0500 022 9413,IT_MANAGER,2021-11-30 00:00:00
CUST00026,COMP00038,Oliver Pereira,rebecagarcia@example.com,816.402.122-94,1997-04-14,(031) 9649 9091,FINANCIAL,2022-06-11 00:00:00
CUST00027,COMP00036,Heitor da Luz,castrorhavi@example.org,108.679.985-97,1982-09-01,+55 (031) 0679-7403,OWNER,2021-09-28 00:00:00
CUST00028,COMP00078,João Miguel Sampaio,rbarbosa@example.org,863.608.952-46,1997-12-01,0900 361 8324,MANAGER,2022-04-13 00:00:00
CUST00029,COMP00078,Brayan Araújo,ana-lizpeixoto@example.net,921.460.324-91,1993-10-30,(011) 7174 6488,MANAGER,2022-04-13 00:00:00
CUST00030,COMP00080,Maysa Barros,lopesayla@example.net,356.794.873-94,1970-04-20,+55 31 3990 4902,MANAGER,2024-01-22 00:00:00
CUST00031,COMP00081,Stella Rezende,lda-mota@example.net,199.742.761-15,1977-11-27,(084) 1756-5512,OPERATOR,2022-01-07 00:00:00
CUST00032,COMP00057,Dr. Thales da Paz,jteixeira@example.org,134.693.473-26,1978-09-07,(051) 4516 8087,OWNER,2025-04-09 00:00:00
CUST00033,COMP00038,Ana Júlia Correia,melina70@example.org,434.865.525-32,1970-12-26,+55 81 4771 0932,MANAGER,2022-06-11 00:00:00
CUST00034,COMP00017,Yuri Albuquerque,oborges@example.org,905.652.997-56,1978-12-15,+55 71 2748 4677,IT_MANAGER,2023-03-21 00:00:00
CUST00035,COMP00065,Rafael Novaes,hadassacorreia@example.net,379.950.268-42,1980-11-15,+55 84 1465 8404,FINANCIAL,2022-01-08 00:00:00
CUST00036,COMP00038,Sra. Rebeca Cassiano,enascimento@example.com,864.991.446-24,1973-08-31,71 6753-3963,FINANCIAL,2022-06-11 00:00:00
CUST00037,COMP00010,Ana Clara Dias,zsantos@example.com,244.872.331-96,1975-11-12,+55 (021) 7028-9517,FINANCIAL,2021-06-01 00:00:00
CUST00038,COMP00072,Vinicius Marques,silveirajoao-pedro@example.com,474.192.909-60,1995-09-30,+55 (021) 1745-9615,OWNER,2025-07-19 00:00:00
CUST00039,COMP00034,Yasmin Garcia,mariah80@example.net,649.226.565-57,1962-11-03,(011) 3161 1724,OPERATOR,2021-07-11 00:00:00
CUST00040,COMP00075,Augusto Duarte,da-rochaelisa@example.com,490.942.753-57,1977-09-10,+55 51 8692 2219,OWNER,2022-03-08 00:00:00
CUST00041,COMP00087,Isabella Monteiro,ravimartins@example.net,339.582.125-89,1970-06-13,+55 61 0748-2175,IT_MANAGER,2021-09-23 00:00:00
CUST00042,COMP00042,Letícia Porto,qsales@example.com,724.326.763-18,1994-09-11,+55 (081) 6713-6959,FINANCIAL,2024-08-11 00:00:00
CUST00043,COMP00090,Juan Almeida,ada-mota@example.net,409.764.518-24,1995-07-04,+55 (071) 9743 9533,MANAGER,2023-05-25 00:00:00
CUST00044,COMP00006,Isis Rocha,gaelpires@example.net,138.411.604-24,1961-08-26,(031) 0952-1456,OWNER,2024-07-13 00:00:00
CUST00045,COMP00031,Guilherme Cardoso,sofia84@example.org,650.238.497-68,1970-07-28,(081) 4517-1236,OPERATOR,2021-04-09 00:00:00
CUST00046,COMP00086,Maria Clara Borges,qalbuquerque@example.net,860.813.653-63,1965-02-06,31 4965 1370,IT_MANAGER,2021-07-12 00:00:00
CUST00047,COMP00096,Lunna Pimenta,davi-lucasporto@example.com,844.258.524-93,1997-04-27,(031) 6120 0471,OWNER,2023-09-18 00:00:00
CUST00048,COMP00063,Isaac Nascimento,hellenamarques@example.com,730.517.386-14,1987-07-12,71 6926-1796,OPERATOR,2021-06-10 00:00:00
CUST00049,COMP00028,Arthur Gabriel Sales,pedro-henrique77@example.org,554.555.341-56,1995-02-10,+55 41 5850 6431,OWNER,2022-12-13 00:00:00
CUST00050,COMP00088,Ayla Ribeiro,asafearagao@example.com,476.657.760-55,1970-01-08,+55 81 9318 3933,OWNER,2022-01-02 00:00:00
CUST00051,COMP00051,Sr. Alexandre da Mota,jose-pedronogueira@example.com,382.294.225-68,1992-10-10,+55 61 0205 3950,OWNER,2025-06-24 00:00:00
CUST00052,COMP00085,João Aragão,lauramoura@example.org,317.757.754-86,1990-08-11,(071) 7589-1783,OWNER,2022-06-13 00:00:00
CUST00053,COMP00007,Ana Clara Siqueira,maria-cecilia00@example.com,905.441.349-26,1994-10-11,(011) 1771-1592,IT_MANAGER,2023-03-14 00:00:00
CUST00054,COMP00027,Davi Lucas da Mota,giovanna98@example.com,170.949.883-80,1978-08-21,0500-611-8367,MANAGER,2022-04-07 00:00:00
CUST00055,COMP00076,Noah Fernandes,aguerra@example.net,321.932.990-39,1963-12-08,(011) 5452-7111,OPERATOR,2023-01-18 00:00:00
CUST00056,COMP00100,Pedro Brito,jose-pedro80@example.net,251.907.710-10,1999-04-05,84 5165-6049,OPERATOR,2025-05-16 00:00:00
CUST00057,COMP00019,Luiz Gustavo Caldeira,leonardoribeiro@example.com,233.653.356-32,1969-03-25,+55 51 5851 4936,OWNER,2025-08-20 00:00:00
CUST00058,COMP00085,Amanda Pereira,benjamin24@example.net,987.126.234-11,1991-04-18,(081) 5022 9612,OPERATOR,2022-06-13 00:00:00
CUST00059,COMP00031,Dra. Ana Borges,fernandaleao@example.com,702.431.116-32,1974-01-05,31 4599 1022,OPERATOR,2021-04-09 00:00:00
CUST00060,COMP00007,Ana Julia Rocha,da-mataluisa@example.net,229.859.531-77,1977-06-03,0500-764-3815,OWNER,2023-03-14 00:00:00
CUST00061,COMP00096,Brenda da Paz,qmoura@example.com,165.587.559-56,1961-11-24,61 9003 4324,IT_MANAGER,2023-09-18 00:00:00
CUST00062,COMP00076,Luan Campos,monteirolorena@example.org,211.562.615-38,1965-05-01,61 3885-1606,IT_MANAGER,2023-01-18 00:00:00
CUST00063,COMP00006,Raul Barbosa,liz96@example.net,844.902.987-94,1986-04-13,(021) 1605 2975,IT_MANAGER,2024-07-13 00:00:00
CUST00064,COMP00039,Pedro Henrique Caldeira,luizapastor@example.com,569.758.131-17,1981-07-08,61 4535 2181,FINANCIAL,2023-08-25 00:00:00
CUST00065,COMP00052,Sophia Correia,clara23@example.org,536.802.210-72,1966-01-15,+55 (081) 2921-2779,FINANCIAL,2023-07-10 00:00:00
CUST00066,COMP00010,Melissa Rodrigues,ana-vitoria27@example.org,182.429.722-28,1979-04-06,(031) 4905 8147,OWNER,2021-06-01 00:00:00
CUST00067,COMP00017,Ana Carolina Araújo,allana11@example.net,381.739.748-84,1984-05-23,51 7980 7935,IT_MANAGER,2023-03-21 00:00:00
CUST00068,COMP00092,Olívia Montenegro,davimachado@example.org,432.490.711-77,1993-04-15,(081) 1820 3778,OPERATOR,2020-12-20 00:00:00
CUST00069,COMP00059,Eduarda Fonseca,alexia66@example.com,617.719.540-22,1987-11-15,+55 (071) 5151 8644,OWNER,2024-08-04 00:00:00
CUST00070,COMP00084,Dra. Clarice Farias,pachecojoao-miguel@example.com,766.998.887-80,1972-10-03,61 2914 8652,MANAGER,2024-06-20 00:00:00
CUST00071,COMP00056,Valentina Borges,xmoraes@example.org,562.333.523-53,1974-11-26,+55 (061) 3573-3221,FINANCIAL,2022-09-21 00:00:00
CUST00072,COMP00052,Carlos Eduardo Montenegro,ribeirobarbara@example.net,525.847.197-50,1965-05-29,41 2229 2706,FINANCIAL,2023-07-10 00:00:00
CUST00073,COMP00041,Sr. Pedro Miguel Pimenta,manuela38@example.org,781.361.483-29,1972-09-21,(071) 3597-7468,FINANCIAL,2022-02-24 00:00:00
CUST00074,COMP00009,Mariah Castro,joao-guilhermeda-cunha@example.org,193.951.187-21,1986-04-29,31 8181 4124,FINANCIAL,2022-05-05 00:00:00
CUST00075,COMP00013,Sophie Casa Grande,oborges@example.com,862.856.481-26,1996-04-22,+55 (041) 6068 5361,IT_MANAGER,2023-09-18 00:00:00
CUST00076,COMP00008,Sr. Arthur Dias,silvabruna@example.org,700.675.675-52,1965-09-04,(011) 7277 9010,OWNER,2024-09-29 00:00:00
CUST00077,COMP00053,Henrique Cassiano,xcamargo@example.com,462.994.781-64,1969-10-11,+55 71 0369 7117,OWNER,2023-05-19 00:00:00
CUST00078,COMP00037,Zoe Almeida,joao-pedroda-rocha@example.com,714.419.460-23,1960-02-06,11 3962 1851,IT_MANAGER,2022-04-08 00:00:00
CUST00079,COMP00065,Ísis Montenegro,gomesmaria-isis@example.org,317.258.772-71,1986-02-05,31 4051 5319,MANAGER,2022-01-08 00:00:00
CUST00080,COMP00014,Sra. Catarina Aparecida,zoe52@example.net,458.965.669-57,1979-02-01,(081) 2217-0430,OWNER,2021-11-30 00:00:00
CUST00081,COMP00098,Asafe Dias,olivia68@example.com,385.687.331-64,1970-06-03,+55 (071) 4505-4156,IT_MANAGER,2025-10-24 00:00:00
CUST00082,COMP00099,Maysa Gomes,marcelo77@example.com,938.736.728-96,1997-12-07,41 4161-6928,IT_MANAGER,2024-05-12 00:00:00
CUST00083,COMP00004,Lorenzo Caldeira,duarteana-carolina@example.com,723.773.949-98,1978-04-27,(011) 2757-0596,OPERATOR,2021-02-10 00:00:00
CUST00084,COMP00004,Benjamin Barbosa,gfonseca@example.net,284.379.819-49,1987-11-22,+55 (041) 2970 2135,OPERATOR,2021-02-10 00:00:00
CUST00085,COMP00045,Dr. Arthur Gabriel Pereira,manuellafreitas@example.com,106.285.990-28,1978-03-28,+55 11 9285 6543,IT_MANAGER,2025-08-06 00:00:00
CUST00086,COMP00085,Apollo Sousa,melinamoreira@example.com,510.171.245-91,1997-06-29,+55 71 4473 9473,OWNER,2022-06-13 00:00:00
CUST00087,COMP00012,Davi Luiz Barbosa,tcavalcanti@example.com,864.643.320-58,2000-12-04,(051) 5188 4422,FINANCIAL,2023-08-20 00:00:00
CUST00088,COMP00059,Sr. Davi Costa,renanvieira@example.com,449.261.478-49,1961-02-10,81 9578-2911,OPERATOR,2024-08-04 00:00:00
CUST00089,COMP00100,Miguel Silva,amoura@example.com,681.710.186-16,1993-10-17,+55 11 2517 7852,MANAGER,2025-05-16 00:00:00
CUST00090,COMP00021,Emilly Vargas,luanamontenegro@example.org,872.732.150-96,1994-02-14,41 2422-5358,OWNER,2022-04-20 00:00:00
CUST00091,COMP00035,Bruno da Cunha,yancardoso@example.net,553.777.534-72,1972-06-14,61 1829-9229,IT_MANAGER,2024-02-27 00:00:00
CUST00092,COMP00057,Dra. Maitê Nunes,alvesenrico@example.org,524.379.320-75,1998-12-05,0500 439 6907,OWNER,2025-04-09 00:00:00
CUST00093,COMP00045,Ísis da Rocha,maria-sophia36@example.com,540.213.390-96,1978-08-19,+55 (081) 2767 7359,IT_MANAGER,2025-08-06 00:00:00
CUST00094,COMP00063,Levi Silva,catarina62@example.com,639.783.415-15,1981-02-24,+55 51 5371 4732,MANAGER,2021-06-10 00:00:00
CUST00095,COMP00051,Benicio da Rocha,apimenta@example.org,713.156.107-36,1999-07-05,+55 (031) 5953-2787,OPERATOR,2025-06-24 00:00:00
CUST00096,COMP00028,Lorena Monteiro,borgesisabel@example.net,885.240.882-42,1978-10-13,+55 41 3950-0479,OPERATOR,2022-12-13 00:00:00
CUST00097,COMP00042,Olivia da Paz,caldeiralorena@example.org,222.107.609-65,1996-03-20,21 6506 0983,MANAGER,2024-08-11 00:00:00
CUST00098,COMP00017,Dr. Brayan Gomes,jteixeira@example.com,489.645.820-39,1993-11-15,0900-912-1655,IT_MANAGER,2023-03-21 00:00:00
CUST00099,COMP00072,Maria Clara Sá,miguelpereira@example.net,953.784.925-55,1976-06-29,+55 (061) 0025 7872,OWNER,2025-07-19 00:00:00
CUST00100,COMP00051,Sophie Carvalho,antonella26@example.net,982.859.143-65,1990-05-08,(031) 9588 8794,OWNER,2025-06-24 00:00:00
CUST00101,COMP00059,Allana Freitas,henry69@example.com,179.982.420-83,1992-09-14,+55 (041) 9749 9309,FINANCIAL,2024-08-04 00:00:00
CUST00102,COMP00074,Eloá Moura,rcasa-grande@example.org,514.826.755-63,1961-04-30,+55 61 3075 6263,OPERATOR,2024-04-29 00:00:00
CUST00103,COMP00015,Sarah Vasconcelos,usousa@example.org,514.121.432-31,1988-12-21,41 3857-8652,IT_MANAGER,2022-02-03 00:00:00
CUST00104,COMP00059,Yasmin Fernandes,vinicius97@example.org,951.806.470-21,1999-04-16,+55 84 8434-4375,FINANCIAL,2024-08-04 00:00:00
CUST00105,COMP00014,Marcela Novais,alicia19@example.net,349.546.703-61,1982-04-22,61 5240 4157,IT_MANAGER,2021-11-30 00:00:00
CUST00106,COMP00011,Jade Souza,mcunha@example.net,505.991.417-53,1971-02-25,84 4219-9330,MANAGER,2023-12-21 00:00:00
CUST00107,COMP00043,Vitória Câmara,cauabrito@example.com,897.272.178-75,1973-07-30,(071) 1208-2677,OWNER,2024-10-12 00:00:00
CUST00108,COMP00068,Gabriela Sá,aurora40@example.org,622.298.894-54,1986-10-12,+55 31 8026-2067,OPERATOR,2023-01-25 00:00:00
CUST00109,COMP00094,João Vitor Andrade,da-rosaheitor@example.com,938.760.934-28,1971-09-14,71 8728-7431,MANAGER,2020-12-31 00:00:00
CUST00110,COMP00014,Sr. Raul Ramos,marcelo05@example.com,249.362.302-32,1983-04-26,+55 (071) 2966-8516,IT_MANAGER,2021-11-30 00:00:00
CUST00111,COMP00020,Aylla Cirino,maria-lizduarte@example.org,878.877.771-19,1960-04-25,51 3745 4990,MANAGER,2021-10-22 00:00:00
CUST00112,COMP00099,Luiz Miguel Sales,davirios@example.org,743.605.575-82,1979-02-12,+55 (031) 6841-4593,IT_MANAGER,2024-05-12 00:00:00
CUST00113,COMP00058,Davi Luiz Mendes,mariasouza@example.net,797.678.758-91,1975-05-10,81 7833-9187,IT_MANAGER,2025-11-15 00:00:00
CUST00114,COMP00042,Maria Cecília Barbosa,araujoagatha@example.net,984.742.423-29,1968-04-28,61 2258-7139,FINANCIAL,2024-08-11 00:00:00
CUST00115,COMP00009,Ayla Moraes,daraujo@example.org,580.552.746-48,1981-01-29,(051) 9087-4064,OPERATOR,2022-05-05 00:00:00
CUST00116,COMP00076,Henrique Pacheco,aparecidalavinia@example.com,157.460.619-19,1988-10-01,71 0170-4622,OPERATOR,2023-01-18 00:00:00
CUST00117,COMP00060,Mariah Freitas,ymachado@example.com,562.138.158-57,1963-04-29,71 2512-8682,OPERATOR,2021-11-26 00:00:00
CUST00118,COMP00010,Srta. Agatha Sá,da-rosamaria-fernanda@example.net,760.984.975-21,1989-07-09,(011) 8633-7524,IT_MANAGER,2021-06-01 00:00:00
CUST00119,COMP00077,Daniel Andrade,xpimenta@example.org,619.493.573-84,1969-11-26,+55 (084) 1907 9030,IT_MANAGER,2021-12-21 00:00:00
CUST00120,COMP00095,Maysa da Conceição,danielcarvalho@example.net,142.560.929-83,2000-10-08,+55 31 9599-5342,MANAGER,2023-09-06 00:00:00
CUST00121,COMP00042,Stephany Câmara,rda-rosa@example.org,719.587.613-29,1982-11-11,0900 268 7056,OWNER,2024-08-11 00:00:00
CUST00122,COMP00058,Luiza Sampaio,jjesus@example.com,205.930.957-53,1975-06-21,61 7334-2708,OWNER,2025-11-15 00:00:00
CUST00123,COMP00065,Maria Vitória Novais,hellenada-cruz@example.com,761.276.140-41,1968-05-16,+55 21 7518 3046,FINANCIAL,2022-01-08 00:00:00
CUST00124,COMP00057,Ana Cecília Barbosa,pedro-henriquemendes@example.org,636.635.724-30,1995-09-08,(071) 4033 1739,OPERATOR,2025-04-09 00:00:00
CUST00125,COMP00048,Srta. Maria Laura da Costa,alexia67@example.net,389.496.518-53,1986-08-20,(041) 4587 7175,IT_MANAGER,2022-03-11 00:00:00
CUST00126,COMP00007,Léo Dias,kaparecida@example.org,908.746.762-52,1990-06-05,+55 (031) 4899 6423,OWNER,2023-03-14 00:00:00
CUST00127,COMP00043,Sr. Mateus Nunes,melinanovaes@example.net,196.671.794-59,1998-09-20,(081) 4777 2522,OPERATOR,2024-10-12 00:00:00
CUST00128,COMP00033,Dra. Rebeca Cirino,mourabernardo@example.org,841.972.772-87,1998-10-16,+55 (071) 0623 1203,MANAGER,2025-04-03 00:00:00
CUST00129,COMP00043,Mirella Freitas,pintomaria-sophia@example.net,183.696.779-28,1980-01-15,+55 (011) 8860 0848,OPERATOR,2024-10-12 00:00:00
CUST00130,COMP00040,Antony Montenegro,gcavalcanti@example.org,771.815.778-60,1981-07-15,+55 41 3984-5461,MANAGER,2023-05-25 00:00:00
CUST00131,COMP00077,Dr. Raul Nunes,raelda-rosa@example.net,825.186.417-81,1993-12-27,+55 21 0166 6870,FINANCIAL,2021-12-21 00:00:00
CUST00132,COMP00083,Alexia Sampaio,enzomonteiro@example.com,910.436.932-26,1986-06-24,(071) 9180 3397,IT_MANAGER,2022-05-18 00:00:00
CUST00133,COMP00012,Augusto Barbosa,yasmin90@example.org,761.786.533-75,1998-02-12,(051) 0392 6142,OPERATOR,2023-08-20 00:00:00
CUST00134,COMP00003,Isabella Nunes,irocha@example.com,471.416.284-37,1975-10-10,+55 84 1850 1631,OPERATOR,2024-08-27 00:00:00
CUST00135,COMP00099,Dr. Luan Alves,manuella73@example.com,597.296.331-27,1982-09-17,41 6296 1943,MANAGER,2024-05-12 00:00:00
CUST00136,COMP00010,Srta. Antonella da Mata,gabriellysilva@example.net,402.964.907-22,1966-05-12,51 5511 0475,IT_MANAGER,2021-06-01 00:00:00
CUST00137,COMP00099,Cauã Cardoso,cirinolorena@example.com,652.955.856-77,1982-11-15,31 6101-5819,OWNER,2024-05-12 00:00:00
CUST00138,COMP00085,Lunna Gomes,da-rochajulia@example.com,444.997.884-89,1991-12-25,84 3982-6224,MANAGER,2022-06-13 00:00:00
CUST00139,COMP00077,João Felipe Monteiro,davi-lucascavalcante@example.com,485.257.266-33,1971-05-08,(031) 7154 3799,IT_MANAGER,2021-12-21 00:00:00
CUST00140,COMP00022,Raul Caldeira,ana-juliaabreu@example.com,838.548.144-62,1973-08-28,0900-657-5692,OPERATOR,2022-02-05 00:00:00
CUST00141,COMP00087,Lorenzo Pereira,maria-luizadias@example.org,836.343.554-88,1999-08-02,(051) 4793 5646,OPERATOR,2021-09-23 00:00:00
CUST00142,COMP00097,Sr. Guilherme Pastor,isisalves@example.net,866.902.559-39,1978-12-18,+55 (084) 7416-7243,IT_MANAGER,2021-02-28 00:00:00
CUST00143,COMP00031,Eduardo Silva,yvieira@example.org,416.928.903-70,1978-06-13,0300-796-8868,MANAGER,2021-04-09 00:00:00
CUST00144,COMP00048,Luiz Miguel Sampaio,caldeiratheo@example.net,794.684.551-69,1987-04-16,+55 (041) 9096-5610,OPERATOR,2022-03-11 00:00:00
CUST00145,COMP00100,José Pedro Câmara,maitefreitas@example.com,491.614.640-63,1979-01-08,0900 825 0714,MANAGER,2025-05-16 00:00:00
CUST00146,COMP00026,Antonella Camargo,ceciliadas-neves@example.com,920.719.241-42,1978-09-15,+55 (084) 8757-1775,OWNER,2022-04-11 00:00:00
CUST00147,COMP00083,Kaique Aparecida,almeidacaroline@example.net,592.995.480-80,1964-07-08,+55 (041) 3828-2586,OWNER,2022-05-18 00:00:00
CUST00148,COMP00092,Isabel Guerra,marceloporto@example.net,966.628.971-25,1977-10-02,+55 (041) 9379 6603,OPERATOR,2020-12-20 00:00:00
CUST00149,COMP00011,João Lucas Sá,oliveiragustavo@example.net,881.264.379-67,1967-09-13,(061) 3714 7859,IT_MANAGER,2023-12-21 00:00:00
CUST00150,COMP00019,Maria Júlia Pastor,ferreiraclarice@example.com,950.547.193-38,1985-05-07,(031) 9912 5134,FINANCIAL,2025-08-20 00:00:00
CUST00151,COMP00045,Fernando Freitas,ninagomes@example.com,127.524.154-60,1984-06-28,0500 662 7828,IT_MANAGER,2025-08-06 00:00:00
CUST00152,COMP00048,Samuel da Paz,marcelodias@example.com,341.495.183-57,1985-06-07,11 0723 6887,MANAGER,2022-03-11 00:00:00
CUST00153,COMP00004,Rebeca Leão,kmendonca@example.org,426.201.959-93,1983-03-21,+55 21 4043-8427,OPERATOR,2021-02-10 00:00:00
CUST00154,COMP00019,Sabrina Novaes,oliveiraian@example.com,240.139.393-70,1991-10-26,21 8078 3613,MANAGER,2025-08-20 00:00:00
CUST00155,COMP00098,Arthur Gabriel Machado,cecilia17@example.org,822.580.559-88,1991-11-02,+55 41 3959-6292,OWNER,2025-10-24 00:00:00
CUST00156,COMP00011,Gustavo Araújo,sophia49@example.net,119.362.320-29,1966-12-09,(021) 4948 1260,IT_MANAGER,2023-12-21 00:00:00
CUST00157,COMP00094,Davi Lucas Sampaio,theocasa-grande@example.net,723.640.533-24,1973-03-29,+55 51 6729 4667,OPERATOR,2020-12-31 00:00:00
CUST00158,COMP00031,Caleb Guerra,emilly77@example.com,408.224.148-40,1983-11-24,+55 31 7518 6363,FINANCIAL,2021-04-09 00:00:00
CUST00159,COMP00082,Juliana Duarte,barbara89@example.org,912.737.568-18,1983-04-01,(084) 5001-7012,OWNER,2025-08-14 00:00:00
CUST00160,COMP00064,Mirella Abreu,scosta@example.org,711.648.116-90,1996-03-16,(031) 2415 4152,IT_MANAGER,2021-10-13 00:00:00
CUST00161,COMP00074,Miguel Pires,ravi-lucca61@example.net,347.835.247-47,1963-12-09,+55 11 7129-3870,FINANCIAL,2024-04-29 00:00:00
CUST00162,COMP00001,Luigi Campos,isales@example.com,729.461.346-83,1962-12-09,51 1115 5426,FINANCIAL,2024-02-24 00:00:00
CUST00163,COMP00024,Diego Azevedo,pimentalucas@example.com,780.784.187-77,1974-06-08,+55 11 2697-3112,OPERATOR,2022-01-06 00:00:00
CUST00164,COMP00009,Matheus Ferreira,ydias@example.org,638.657.619-74,1970-03-12,+55 21 3899 9404,IT_MANAGER,2022-05-05 00:00:00
CUST00165,COMP00003,Valentim Pereira,heloisada-rocha@example.net,499.994.581-15,1962-04-10,+55 41 7613-7918,FINANCIAL,2024-08-27 00:00:00
CUST00166,COMP00048,Luiz Miguel Dias,hellenanunes@example.com,359.865.116-55,1975-01-07,+55 (051) 7109-1043,OWNER,2022-03-11 00:00:00
CUST00167,COMP00045,Bento Vieira,smontenegro@example.net,346.850.772-90,1989-04-03,84 6618 8924,OWNER,2025-08-06 00:00:00
CUST00168,COMP00099,Leonardo Barros,leonardonascimento@example.com,695.852.874-52,1976-01-21,+55 (084) 4630 3161,MANAGER,2024-05-12 00:00:00
CUST00169,COMP00006,Ana Laura das Neves,isaquealbuquerque@example.net,460.659.446-92,1965-08-29,+55 (021) 2758 8425,MANAGER,2024-07-13 00:00:00
CUST00170,COMP00100,João Felipe Siqueira,vargasbento@example.com,801.575.812-71,1993-02-16,+55 81 8149-1778,MANAGER,2025-05-16 00:00:00
CUST00171,COMP00018,Sr. Theo Nunes,emillycastro@example.com,164.833.894-68,1991-09-29,0500 138 0003,OWNER,2022-10-20 00:00:00
CUST00172,COMP00038,Ravy Fonseca,lcassiano@example.org,306.144.910-35,1982-09-14,84 3536 5419,OWNER,2022-06-11 00:00:00
CUST00173,COMP00041,Sr. Theodoro Rocha,cavalcantipietro@example.net,417.627.507-79,2000-04-10,71 1744 5187,FINANCIAL,2022-02-24 00:00:00
CUST00174,COMP00033,Léo Costa,ana-julia93@example.com,137.871.762-34,1975-02-19,11 3832-0603,OPERATOR,2025-04-03 00:00:00
CUST00175,COMP00046,Manuella Porto,fariasalexandre@example.net,982.899.148-93,1975-06-19,(041) 1383 6702,OPERATOR,2025-12-05 00:00:00
CUST00176,COMP00035,Sra. Ayla Aparecida,raqueljesus@example.net,227.918.476-65,1996-10-03,(051) 1918-2619,FINANCIAL,2024-02-27 00:00:00
CUST00177,COMP00096,Ana Liz Lopes,renanda-rocha@example.com,550.495.447-33,1994-12-04,61 5574 3132,FINANCIAL,2023-09-18 00:00:00
CUST00178,COMP00089,Bianca Cassiano,cavalcantemanuella@example.com,609.476.916-76,1972-11-28,+55 71 8537 4741,OPERATOR,2024-05-22 00:00:00
