interaction_id,ticket_id,interaction_timestamp,author_type,author_id,author_name,message,interaction_type,channel,attachments
INT00000057,TKT000012,2025-10-06 13:02:50,AGENT,AGENT001,Ana Silva,Olá! Obrigado por entrar em contato. Já estou analisando seu caso.,COMMENT,WHATSAPP,
INT00000058,TKT000012,2025-10-06 21:59:21,CUSTOMER,CUST00144,Luiz Miguel Sampaio,Perfeito! Funcionou agora. Muito obrigado pelo suporte!,COMMENT,WHATSAPP,
INT00000059,TKT000013,2026-01-03 04:44:54,CUSTOMER,CUST00289,Rafael Pires,Estou esperando há 99 minutos para ser atendido. Isso é inaceitável!,COMMENT,PORTAL,
INT00000060,TKT000013,2026-01-03 09:42:11,AGENT,AGENT005,Elena Rodrigues,Olá! Obrigado por entrar em contato. Já estou analisando seu caso.,COMMENT,PORTAL,
INT00000061,TKT000014,2025-12-19 15:06:54,CUSTOMER,CUST00051,Sr. Alexandre da Mota,O sistema está fora do ar desde as X900h e estou perdendo vendas. Preciso de solução urgente!,COMMENT,WHATSAPP,
INT00000062,TKT000014,2025-12-20 00:53:12,AGENT,AGENT013,Mariana Gomes,Essa solicitação precisa ser aprovada pelo gestor. Aguarde retorno em até 24h.,COMMENT,WHATSAPP,
INT00000063,TKT000014,2025-12-20 22:33:37,CUSTOMER,CUST00051,Sr. Alexandre da Mota,"Ok, testei aqui e continua com o mesmo erro. O que fazer?",COMMENT,WHATSAPP,
INT00000064,TKT000014,2025-12-19 20:34:30,AGENT,AGENT013,Mariana Gomes,Ticket resolvido e encerrado. Obrigado!,STATUS_CHANGE,WHATSAPP,
INT00000065,TKT000015,2025-12-19 19:50:54,CUSTOMER,CUST00193,Ayla Fernandes,Preciso de ajuda para configurar e processar pagamentos via PIX na maquininha.,COMMENT,PHONE,
INT00000066,TKT000015,2025-12-20 01:01:28,AGENT,AGENT010,João Pereira,O problema está relacionado ao seu equipamento. Vou solicitar a troca.,COMMENT,PHONE,
INT00000067,TKT000015,2025-12-21 00:04:39,CUSTOMER,CUST00193,Ayla Fernandes,Não consigo seguir essas instruções. Tem como fazer remotamente?,COMMENT,PHONE,
INT00000068,TKT000015,2025-12-21 03:22:09,AGENT,AGENT010,João Pereira,O problema está relacionado ao seu equipamento. Vou solicitar a troca.,COMMENT,PHONE,
INT00000069,TKT000015,2025-12-21 16:47:49,CUSTOMER,CUST00193,Ayla Fernandes,"Ok, testei aqui e continua com o mesmo erro. O que fazer?",COMMENT,PHONE,
INT00000070,TKT000015,2025-12-22 00:55:55,AGENT,AGENT010,João Pereira,"Enviei as instruções por email. Por favor, siga o passo a passo.",COMMENT,PHONE,
INT00000071,TKT000015,2025-12-22 13:13:32,CUSTOMER,CUST00193,Ayla Fernandes,Quanto tempo vai demorar? Estou perdendo vendas!,COMMENT,PHONE,
INT00000072,TKT000016,2025-11-10 07:04:54,CUSTOMER,CUST00079,Ísis Montenegro,"Estou com problemas de conexão na maquininha. Aparece erro ""Falha de comunicação"" toda vez que tento processar um pagamento.",COMMENT,CHAT,
INT00000073,TKT000016,2025-11-10 10:09:37,CUSTOMER,CUST00079,Ísis Montenegro,Mas isso já faz 3 dias que estou com problema! Preciso de agilidade!,COMMENT,CHAT,
INT00000074,TKT000016,2025-11-11 05:17:20,CUSTOMER,CUST00079,Ísis Montenegro,"Ok, testei aqui e continua com o mesmo erro. O que fazer?",COMMENT,CHAT,
INT00000075,TKT000017,2025-12-17 23:55:54,CUSTOMER,CUST00221,Sra. Laís Castro,Gostaria de informações sobre mudança de plano. Meu volume de vendas aumentou e preciso de condições melhores.,COMMENT,WHATSAPP,
INT00000076,TKT000017,2025-12-18 08:31:06,AGENT,AGENT018,Samuel Dias,Olá! Obrigado por entrar em contato. Já estou analisando seu caso.,COMMENT,WHATSAPP,
INT00000077,TKT000017,2025-12-19 03:03:07,CUSTOMER,CUST00221,Sra. Laís Castro,Perfeito! Funcionou agora. Muito obrigado pelo suporte!,COMMENT,WHATSAPP,
INT00000078,TKT000018,2025-11-12 23:30:54,CUSTOMER,CUST00044,Isis Rocha,Foi realizado um estorno de R$ 2902.61 na minha conta sem autorização. Preciso entender o motivo e reverter.,COMMENT,WHATSAPP,
INT00000079,TKT000018,2025-11-13 15:57:19,AGENT,AGENT005,Elena Rodrigues,Essa solicitação precisa ser aprovada pelo gestor. Aguarde retorno em até 24h.,COMMENT,WHATSAPP,
INT00000080,TKT000019,2025-12-21 01:37:54,CUSTOMER,CUST00142,Sr. Guilherme Pastor,"Estou com problemas de conexão na maquininha. Aparece erro ""Falha de comunicação"" toda vez que tento processar um pagamento.",COMMENT,WHATSAPP,
INT00000081,TKT000019,2025-12-22 01:04:40,AGENT,AGENT024,Amanda Pinto,Olá! Obrigado por entrar em contato. Já estou analisando seu caso.,COMMENT,WHATSAPP,
INT00000082,TKT000019,2025-12-22 11:47:04,CUSTOMER,CUST00142,Sr. Guilherme Pastor,Não consigo seguir essas instruções. Tem como fazer remotamente?,COMMENT,WHATSAPP,
INT00000083,TKT000019,2025-12-22 18:55:00,AGENT,AGENT024,Amanda Pinto,Entendo sua frustração. Vou verificar isso imediatamente para você.,COMMENT,WHATSAPP,
INT00000084,TKT000019,2025-12-23 13:17:53,CUSTOMER,CUST00142,Sr. Guilherme Pastor,Perfeito! Funcionou agora. Muito obrigado pelo suporte!,COMMENT,WHATSAPP,
INT00000085,TKT000020,2025-12-28 22:03:54,CUSTOMER,CUST00203,Beatriz da Conceição,Fiz uma venda de R$ 4324.77 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,COMMENT,WHATSAPP,
INT00000086,TKT000020,2025-12-29 02:08:55,AGENT,AGENT021,Wagner Teixeira,Realizei o estorno solicitado. O valor será creditado em até 2 dias úteis.,COMMENT,WHATSAPP,
INT00000087,TKT000020,2025-12-29 07:02:23,CUSTOMER,CUST00203,Beatriz da Conceição,Não consigo seguir essas instruções. Tem como fazer remotamente?,COMMENT,WHATSAPP,
INT00000088,TKT000020,2025-12-30 01:33:28,AGENT,AGENT021,Wagner Teixeira,Verifiquei seu cadastro e identifiquei a inconsistência. Vou corrigir.,COMMENT,WHATSAPP,
INT00000089,TKT000020,2025-12-31 01:25:22,CUSTOMER,CUST00203,Beatriz da Conceição,Perfeito! Funcionou agora. Muito obrigado pelo suporte!,COMMENT,WHATSAPP,
INT00000090,TKT000020,2025-12-31 17:34:54,AGENT,AGENT021,Wagner Teixeira,"Enviei as instruções por email. Por favor, siga o passo a passo.",COMMENT,WHATSAPP,
INT00000091,TKT000021,2025-12-30 18:47:54,CUSTOMER,CUST00164,Matheus Ferreira,Gostaria de cancelar meu contrato. Estou fechando a loja/mudando de adquirente.,COMMENT,PORTAL,
INT00000092,TKT000021,2025-12-31 06:26:05,AGENT,AGENT011,Karina Souza,Entendo sua frustração. Vou verificar isso imediatamente para você.,COMMENT,PORTAL,
INT00000093,TKT000021,2025-12-31 23:24:42,CUSTOMER,CUST00164,Matheus Ferreira,Pode cancelar. Já resolvi de outra forma.,COMMENT,PORTAL,
INT00000094,TKT000021,2026-01-01 18:14:54,AGENT,AGENT011,Karina Souza,Ticket resolvido e encerrado. Obrigado!,STATUS_CHANGE,PORTAL,
INT00000095,TKT000022,2026-01-11 17:58:54,CUSTOMER,CUST00282,Otto Monteiro,A maquininha está pedindo atualização mas não consigo fazer. Como proceder?,COMMENT,WHATSAPP,
INT00000096,TKT000022,2026-01-11 22:44:22,AGENT,AGENT023,Zeca Monteiro,Sua solicitação foi concluída com sucesso. Há mais algo em que posso ajudar?,COMMENT,WHATSAPP,
INT00000097,TKT000022,2026-01-12 14:01:08,CUSTOMER,CUST00282,Otto Monteiro,"Ok, testei aqui e continua com o mesmo erro. O que fazer?",COMMENT,WHATSAPP,
INT00000098,TKT000022,2026-01-12 19:54:34,AGENT,AGENT023,Zeca Monteiro,Consegui identificar o problema. Vou encaminhar para o time técnico.,COMMENT,WHATSAPP,
INT00000099,TKT000022,2026-01-13 05:50:22,CUSTOMER,CUST00282,Otto Monteiro,Não consigo seguir essas instruções. Tem como fazer remotamente?,COMMENT,WHATSAPP,
INT00000100,TKT000022,2026-01-14 05:36:50,AGENT,AGENT023,Zeca Monteiro,Consegui identificar o problema. Vou encaminhar para o time técnico.,COMMENT,WHATSAPP,
INT00000101,TKT000023,2025-11-27 19:00:54,CUSTOMER,CUST00130,Antony Montenegro,Fiz uma venda de R$ 1947.26 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,COMMENT,PORTAL,
INT00000102,TKT000023,2025-11-27 19:55:48,AGENT,AGENT019,Tatiana Mendes,Já apliquei a correção. Poderia confirmar se está funcionando agora?,COMMENT,PORTAL,
INT00000103,TKT000023,2025-11-27 22:34:01,CUSTOMER,CUST00130,Antony Montenegro,Obrigado pelo retorno. Vou aguardar a solução.,COMMENT,PORTAL,
INT00000104,TKT000023,2025-11-28 08:00:19,AGENT,AGENT019,Tatiana Mendes,Realizei o estorno solicitado. O valor será creditado em até 2 dias úteis.,COMMENT,PORTAL,
INT00000105,TKT000023,2025-11-28 15:42:24,CUSTOMER,CUST00130,Antony Montenegro,Perfeito! Funcionou agora. Muito obrigado pelo suporte!,COMMENT,PORTAL,
INT00000106,TKT000024,2025-12-05 15:21:54,CUSTOMER,CUST00275,Hellena Rocha,Fiz uma venda de R$ 1316.33 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,COMMENT,WHATSAPP,
INT00000107,TKT000024,2025-12-05 23:45:54,AGENT,AGENT020,Vinicius Rocha,O problema está relacionado ao seu equipamento. Vou solicitar a troca.,COMMENT,WHATSAPP,
INT00000108,TKT000024,2025-12-06 01:42:24,CUSTOMER,CUST00275,Hellena Rocha,Quanto tempo vai demorar? Estou perdendo vendas!,COMMENT,WHATSAPP,
INT00000109,TKT000024,2025-12-09 14:12:18,AGENT,AGENT020,Vinicius Rocha,Ticket resolvido e encerrado. Obrigado!,STATUS_CHANGE,WHATSAPP,
INT00000110,TKT000025,2025-12-13 00:52:54,CUSTOMER,CUST00114,Maria Cecília Barbosa,O sistema está fora do ar desde as X900h e estou perdendo vendas. Preciso de solução urgente!,COMMENT,WHATSAPP,
INT00000111,TKT000025,2025-12-13 02:35:44,AGENT,AGENT012,Lucas Barbosa,Entendo sua frustração. Vou verificar isso imediatamente para você.,COMMENT,WHATSAPP,
INT00000112,TKT000025,2025-12-13 09:25:22,CUSTOMER,CUST00114,Maria Cecília Barbosa,Não consigo seguir essas instruções. Tem como fazer remotamente?,COMMENT,WHATSAPP,
INT00000113,TKT000025,2025-12-14 08:04:59,AGENT,AGENT012,Lucas Barbosa,"Enviei as instruções por email. Por favor, siga o passo a passo.",COMMENT,WHATSAPP,
INT00000114,TKT000025,2025-12-14 14:23:13,CUSTOMER,CUST00114,Maria Cecília Barbosa,Obrigado pelo retorno. Vou aguardar a solução.,COMMENT,WHATSAPP,
INT00000115,TKT000025,2025-12-14 19:09:29,AGENT,AGENT012,Lucas Barbosa,Olá! Obrigado por entrar em contato. Já estou analisando seu caso.,COMMENT,WHATSAPP,
INT00000116,TKT000025,2025-12-14 20:52:59,CUSTOMER,CUST00114,Maria Cecília Barbosa,Isso não resolve meu problema. Quero falar com um supervisor.,COMMENT,WHATSAPP,
INT00000117,TKT000025,2025-12-16 06:56:30,AGENT,AGENT012,Lucas Barbosa,Ticket resolvido e encerrado. Obrigado!,STATUS_CHANGE,WHATSAPP,
INT00000118,TKT000026,2026-01-07 18:18:54,CUSTOMER,CUST00044,Isis Rocha,A taxa cobrada nas transações está diferente do contratado. Contratei 2.5% mas está sendo cobrado 3.5%.,COMMENT,WHATSAPP,
INT00000119,TKT000026,2026-01-08 01:31:11,AGENT,AGENT007,Gabriela Alves,Verifiquei seu cadastro e identifiquei a inconsistência. Vou corrigir.,COMMENT,WHATSAPP,
INT00000120,TKT000026,2026-01-08 23:22:09,CUSTOMER,CUST00044,Isis Rocha,Mas isso já faz 3 dias que estou com problema! Preciso de agilidade!,COMMENT,WHATSAPP,
INT00000121,TKT000027,2025-12-30 08:25:54,CUSTOMER,CUST00232,Davi Vargas,Fiz uma venda de R$ 3582.82 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,COMMENT,PHONE,
INT00000122,TKT000027,2025-12-30 13:16:31,CUSTOMER,CUST00232,Davi Vargas,Entendi. Vou aguardar o retorno então.,COMMENT,PHONE,
INT00000123,TKT000027,2025-12-30 22:19:10,CUSTOMER,CUST00232,Davi Vargas,Não consigo seguir essas instruções. Tem como fazer remotamente?,COMMENT,PHONE,
INT00000124,TKT000027,2025-12-31 01:26:25,CUSTOMER,CUST00232,Davi Vargas,Obrigado pelo retorno. Vou aguardar a solução.,COMMENT,PHONE,
INT00000125,TKT000027,2025-12-31 17:59:24,CUSTOMER,CUST00232,Davi Vargas,"Ok, testei aqui e continua com o mesmo erro. O que fazer?",COMMENT,PHONE,
INT00000126,TKT000028,2025-12-08 03:13:54,CUSTOMER,CUST00170,João Felipe Siqueira,Fiz uma venda de R$ 2084.73 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,COMMENT,WHATSAPP,
INT00000127,TKT000028,2025-12-08 12:12:18,AGENT,AGENT014,Nicolas Ribeiro,Essa solicitação precisa ser aprovada pelo gestor. Aguarde retorno em até 24h.,COMMENT,WHATSAPP,
INT00000128,TKT000028,2025-12-09 06:09:50,CUSTOMER,CUST00170,João Felipe Siqueira,Excelente atendimento! Problema resolvido.,COMMENT,WHATSAPP,
INT00000129,TKT000028,2025-12-09 19:05:31,AGENT,AGENT014,Nicolas Ribeiro,Essa solicitação precisa ser aprovada pelo gestor. Aguarde retorno em até 24h.,COMMENT,WHATSAPP,
INT00000130,TKT000029,2026-01-03 18:36:54,CUSTOMER,CUST00110,Sr. Raul Ramos,Fiz uma venda de R$ 406.56 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,COMMENT,WHATSAPP,
INT00000131,TKT000029,2026-01-04 10:23:45,AGENT,AGENT006,Fernando Lima,Já apliquei a correção. Poderia confirmar se está funcionando agora?,COMMENT,WHATSAPP,
INT00000132,TKT000029,2026-01-05 00:37:39,CUSTOMER,CUST00110,Sr. Raul Ramos,Mas isso já faz 3 dias que estou com problema! Preciso de agilidade!,COMMENT,WHATSAPP,
INT00000133,TKT000030,2025-12-10 21:07:54,CUSTOMER,CUST00251,Liam Mendonça,O sistema está fora do ar desde as X900h e estou perdendo vendas. Preciso de solução urgente!,COMMENT,CHAT,
INT00000134,TKT000030,2025-12-11 00:41:53,AGENT,AGENT004,Diego Costa,Sua solicitação foi concluída com sucesso. Há mais algo em que posso ajudar?,COMMENT,CHAT,
INT00000135,TKT000031,2025-12-30 10:08:54,CUSTOMER,CUST00069,Eduarda Fonseca,"Estou com problemas de conexão na maquininha. Aparece erro ""Falha de comunicação"" toda vez que tento processar um pagamento.",COMMENT,PORTAL,
INT00000136,TKT000031,2025-12-30 11:36:45,AGENT,AGENT017,Rafaela Castro,Já apliquei a correção. Poderia confirmar se está funcionando agora?,COMMENT,PORTAL,
INT00000137,TKT000032,2025-11-19 20:28:54,CUSTOMER,CUST00276,Renan Dias,O pagamento via PIX não está processando. Cliente escaneou o QR Code mas o pagamento não foi aprovado.,COMMENT,CHAT,
INT00000138,TKT000032,2025-11-20 13:32:28,AGENT,AGENT005,Elena Rodrigues,Entendo sua frustração. Vou verificar isso imediatamente para você.,COMMENT,CHAT,
INT00000139,TKT000032,2025-11-20 15:48:03,CUSTOMER,CUST00276,Renan Dias,Pode cancelar. Já resolvi de outra forma.,COMMENT,CHAT,
INT00000140,TKT000033,2025-10-23 23:55:54,CUSTOMER,CUST00100,Sophie Carvalho,Preciso de ajuda para configurar e processar pagamentos via PIX na maquininha.,COMMENT,EMAIL,
INT00000141,TKT000033,2025-10-24 08:29:23,AGENT,AGENT014,Nicolas Ribeiro,O problema está relacionado ao seu equipamento. Vou solicitar a troca.,COMMENT,EMAIL,
INT00000142,TKT000033,2025-10-25 08:14:47,CUSTOMER,CUST00100,Sophie Carvalho,Perfeito! Funcionou agora. Muito obrigado pelo suporte!,COMMENT,EMAIL,
INT00000143,TKT000033,2025-10-25 21:17:06,AGENT,AGENT014,Nicolas Ribeiro,Consegui identificar o problema. Vou encaminhar para o time técnico.,COMMENT,EMAIL,
INT00000144,TKT000033,2025-10-25 22:48:52,CUSTOMER,CUST00100,Sophie Carvalho,Perfeito! Funcionou agora. Muito obrigado pelo suporte!,COMMENT,EMAIL,
INT00000145,TKT000033,2025-10-26 09:08:33,AGENT,AGENT014,Nicolas Ribeiro,Verifiquei seu cadastro e identifiquei a inconsistência. Vou corrigir.,COMMENT,EMAIL,
INT00000146,TKT000034,2025-12-31 09:13:54,CUSTOMER,CUST00113,Davi Luiz Mendes,Estou muito insatisfeito com o atendimento. Já abri 4 chamados e ninguém resolve meu problema.,COMMENT,PORTAL,
INT00000147,TKT000034,2026-01-01 05:47:14,AGENT,AGENT024,Amanda Pinto,Realizei o estorno solicitado. O valor será creditado em até 2 dias úteis.,COMMENT,PORTAL,
INT00000148,TKT000034,2026-01-02 05:12:10,CUSTOMER,CUST00113,Davi Luiz Mendes,Isso não resolve meu problema. Quero falar com um supervisor.,COMMENT,PORTAL,
INT00000149,TKT000034,2026-01-02 16:14:32,AGENT,AGENT024,Amanda Pinto,Entendo sua frustração. Vou verificar isso imediatamente para você.,COMMENT,PORTAL,
