interaction_id,ticket_id,interaction_timestamp,author_type,author_id,author_name,message,interaction_type,channel,attachments
INT00000028,TKT000006,2025-10-21 21:12:54,AGENT,AGENT005,Jennifer Martinez,I understand your frustration. I will check this immediately for you.,COMMENT,CHAT,
INT00000029,TKT000006,2025-10-22 15:25:21,CUSTOMER,CUST00208,Michael Freeman,Perfect! It worked now. Thank you very much for the support!,COMMENT,CHAT,
INT00000030,TKT000006,2025-10-23 14:36:58,AGENT,AGENT005,Jennifer Martinez,I understand your frustration. I will check this immediately for you.,COMMENT,CHAT,
INT00000031,TKT000006,2025-10-23 19:21:42,CUSTOMER,CUST00208,Michael Freeman,Excellent service! Problem solved.,COMMENT,CHAT,
INT00000032,TKT000006,2025-10-24 12:11:57,AGENT,AGENT005,Jennifer Martinez,Hello! Thank you for contacting us. I'm already looking into your case.,COMMENT,CHAT,
INT00000033,TKT000006,2025-10-25 01:44:07,CUSTOMER,CUST00208,Michael Freeman,This does not solve my problem. I want to speak with a supervisor.,COMMENT,CHAT,
INT00000034,TKT000007,2025-08-29 08:11:22,CUSTOMER,CUST00137,Wendy Thompson,The terminal is asking for an update but I cannot do it. How do I proceed?,COMMENT,LIVE_CHAT,
INT00000035,TKT000007,2025-08-29 09:36:33,AGENT,AGENT012,James Wilson,Your request has been completed successfully. Is there anything else I can help you with?,COMMENT,LIVE_CHAT,
INT00000036,TKT000008,2025-09-24 18:59:22,CUSTOMER,CUST00258,Miguel Rodriguez,I made sales on 09/23/2025 totaling $6567.76 and the amount was not credited to my account.,COMMENT,PORTAL,
INT00000037,TKT000008,2025-09-25 10:49:35,AGENT,AGENT008,Christopher Lee,I understand your frustration. I will check this immediately for you.,COMMENT,PORTAL,
INT00000038,TKT000008,2025-09-26 00:32:42,CUSTOMER,CUST00258,Miguel Rodriguez,Thank you for the response. I will wait for the solution.,COMMENT,PORTAL,
INT00000039,TKT000008,2025-10-01 11:50:58,AGENT,AGENT008,Christopher Lee,Ticket resolved and closed. Thank you!,STATUS_CHANGE,PORTAL,
INT00000040,TKT000009,2025-11-22 21:53:22,CUSTOMER,CUST00127,Jason Cortez,I made a sale of $501.16 but the receipt was not printed. Customer is asking for a receipt.,COMMENT,PORTAL,
INT00000041,TKT000009,2025-11-23 21:25:03,AGENT,AGENT003,Emily Rodriguez,I have processed the requested refund. The amount will be credited within 2 business days.,COMMENT,PORTAL,
INT00000042,TKT000010,2025-12-18 20:35:22,CUSTOMER,CUST00267,Lori Mitchell,The terminal is asking for an update but I cannot do it. How do I proceed?,COMMENT,PORTAL,
INT00000043,TKT000010,2025-12-19 05:37:59,AGENT,AGENT017,Nicole Harris,I have processed the requested refund. The amount will be credited within 2 business days.,COMMENT,PORTAL,
INT00000044,TKT000010,2025-12-19 10:09:56,CUSTOMER,CUST00267,Lori Mitchell,Thank you for the response. I will wait for the solution.,COMMENT,PORTAL,
INT00000045,TKT000010,2025-12-19 16:30:06,AGENT,AGENT017,Nicole Harris,Hello! Thank you for contacting us. I'm already looking into your case.,COMMENT,PORTAL,
INT00000046,TKT000011,2025-12-17 08:02:22,CUSTOMER,CUST00287,Amanda Ruiz,The payment terminal model X900 is not powering on. I tried charging the battery but it still does not work.,COMMENT,CHAT,
INT00000047,TKT000011,2025-12-18 05:47:52,AGENT,AGENT024,Andrew Young,I checked your registration and identified the inconsistency. I will correct it.,COMMENT,CHAT,
INT00000048,TKT000011,2025-12-18 21:47:17,CUSTOMER,CUST00287,Amanda Ruiz,Understood. I will wait for the response then.,COMMENT,CHAT,
INT00000049,TKT000011,2025-12-19 01:34:29,AGENT,AGENT024,Andrew Young,The problem is related to your equipment. I will request a replacement.,COMMENT,CHAT,
INT00000050,TKT000011,2025-12-19 18:24:34,CUSTOMER,CUST00287,Amanda Ruiz,You can cancel. I already solved it another way.,COMMENT,CHAT,
INT00000051,TKT000011,2025-12-20 16:18:47,AGENT,AGENT024,Andrew Young,This request needs to be approved by the manager. Please wait for a response within 24 hours.,COMMENT,CHAT,
INT00000052,TKT000012,2025-09-15 14:49:22,CUSTOMER,CUST00031,Gina Wilson,I would like to cancel my contract. I am closing my store/switching to another provider.,COMMENT,CHAT,
INT00000053,TKT000012,2025-09-16 03:58:14,CUSTOMER,CUST00031,Gina Wilson,Perfect! It worked now. Thank you very much for the support!,COMMENT,CHAT,
INT00000054,TKT000012,2025-09-16 20:38:13,CUSTOMER,CUST00031,Gina Wilson,Thank you for the response. I will wait for the solution.,COMMENT,CHAT,
INT00000055,TKT000012,2025-09-17 02:42:32,CUSTOMER,CUST00031,Gina Wilson,Perfect! It worked now. Thank you very much for the support!,COMMENT,CHAT,
INT00000056,TKT000012,2025-09-17 06:32:17,CUSTOMER,CUST00031,Gina Wilson,Perfect! It worked now. Thank you very much for the support!,COMMENT,CHAT,
INT00000057,TKT000012,2025-09-18 05:32:15,CUSTOMER,CUST00031,Gina Wilson,Excellent service! Problem solved.,COMMENT,CHAT,
INT00000058,TKT000013,2025-12-24 20:06:22,CUSTOMER,CUST00194,Natalie Juarez,The card reader is not working. I tried cleaning it but the problem persists.,COMMENT,PORTAL,
INT00000059,TKT000013,2025-12-25 01:40:58,AGENT,AGENT012,James Wilson,This request needs to be approved by the manager. Please wait for a response within 24 hours.,COMMENT,PORTAL,
INT00000060,TKT000013,2025-12-25 08:42:06,CUSTOMER,CUST00194,Natalie Juarez,Excellent service! Problem solved.,COMMENT,PORTAL,
INT00000061,TKT000013,2025-12-25 19:07:09,AGENT,AGENT012,James Wilson,I have processed the requested refund. The amount will be credited within 2 business days.,COMMENT,PORTAL,
INT00000062,TKT000013,2025-12-26 01:36:39,CUSTOMER,CUST00194,Natalie Juarez,How long will it take? I am losing sales!,COMMENT,PORTAL,
INT00000063,TKT000013,2025-12-26 17:22:49,AGENT,AGENT012,James Wilson,I was able to identify the problem. I will forward it to the technical team.,COMMENT,PORTAL,
INT00000064,TKT000014,2025-11-06 08:19:22,CUSTOMER,CUST00002,Matthew Harvey,I need help configuring and processing mobile payments on the terminal.,COMMENT,EMAIL,
INT00000065,TKT000014,2025-11-06 19:32:25,AGENT,AGENT013,Michelle Anderson,I checked your registration and identified the inconsistency. I will correct it.,COMMENT,EMAIL,
INT00000066,TKT000014,2025-11-07 11:56:19,CUSTOMER,CUST00002,Matthew Harvey,"Ok, I tested it and it still has the same error. What should I do?",COMMENT,EMAIL,
INT00000067,TKT000014,2025-11-08 01:01:56,AGENT,AGENT013,Michelle Anderson,I understand your frustration. I will check this immediately for you.,COMMENT,EMAIL,
INT00000068,TKT000014,2025-11-08 16:19:38,CUSTOMER,CUST00002,Matthew Harvey,I cannot follow these instructions. Can you do it remotely?,COMMENT,EMAIL,
INT00000069,TKT000014,2025-11-08 02:16:58,AGENT,AGENT013,Michelle Anderson,Ticket resolved and closed. Thank you!,STATUS_CHANGE,EMAIL,
INT00000070,TKT000015,2026-01-03 15:42:22,CUSTOMER,CUST00009,Pamela Jackson,The system has been down since 8am and I am losing sales. I need an urgent solution!,COMMENT,PHONE,
INT00000071,TKT000015,2026-01-04 08:34:51,AGENT,AGENT002,Michael Chen,I have applied the fix. Could you confirm if it is working now?,COMMENT,PHONE,
INT00000072,TKT000015,2026-01-05 01:52:13,CUSTOMER,CUST00009,Pamela Jackson,Excellent service! Problem solved.,COMMENT,PHONE,
INT00000073,TKT000015,2026-01-05 17:49:02,AGENT,AGENT002,Michael Chen,I have processed the requested refund. The amount will be credited within 2 business days.,COMMENT,PHONE,
INT00000074,TKT000015,2026-01-06 08:32:01,CUSTOMER,CUST00009,Pamela Jackson,How long will it take? I am losing sales!,COMMENT,PHONE,
INT00000075,TKT000015,2026-01-07 04:20:25,AGENT,AGENT002,Michael Chen,This request needs to be approved by the manager. Please wait for a response within 24 hours.,COMMENT,PHONE,
INT00000076,TKT000015,2026-01-08 04:09:46,CUSTOMER,CUST00009,Pamela Jackson,How long will it take? I am losing sales!,COMMENT,PHONE,
INT00000077,TKT000016,2026-01-07 08:34:22,CUSTOMER,CUST00029,Mary Hill,The card reader is not working. I tried cleaning it but the problem persists.,COMMENT,LIVE_CHAT,
INT00000078,TKT000016,2026-01-07 09:40:53,AGENT,AGENT019,Ashley Lewis,Your request has been completed successfully. Is there anything else I can help you with?,COMMENT,LIVE_CHAT,
INT00000079,TKT000016,2026-01-07 15:59:52,CUSTOMER,CUST00029,Mary Hill,I cannot follow these instructions. Can you do it remotely?,COMMENT,LIVE_CHAT,
INT00000080,TKT000016,2026-01-07 19:25:35,AGENT,AGENT019,Ashley Lewis,I understand your frustration. I will check this immediately for you.,COMMENT,LIVE_CHAT,
INT00000081,TKT000016,2026-01-08 11:59:59,CUSTOMER,CUST00029,Mary Hill,How long will it take? I am losing sales!,COMMENT,LIVE_CHAT,
INT00000082,TKT000016,2026-01-12 18:28:22,AGENT,AGENT019,Ashley Lewis,Ticket resolved and closed. Thank you!,STATUS_CHANGE,LIVE_CHAT,
INT00000083,TKT000017,2025-12-02 04:13:22,CUSTOMER,CUST00090,Tammy Boone,I would like to cancel my contract. I am closing my store/switching to another provider.,COMMENT,PORTAL,
INT00000084,TKT000017,2025-12-02 12:27:45,CUSTOMER,CUST00090,Tammy Boone,But it has been 3 days since I have had this problem! I need speed!,COMMENT,PORTAL,
INT00000085,TKT000018,2025-12-31 12:00:22,CUSTOMER,CUST00077,Luis Matthews,I am very dissatisfied with the service. I have opened 5 tickets and no one has solved my problem.,COMMENT,EMAIL,
INT00000086,TKT000018,2026-01-01 09:52:24,AGENT,AGENT023,Rachel Allen,I checked your registration and identified the inconsistency. I will correct it.,COMMENT,EMAIL,
INT00000087,TKT000018,2026-01-01 13:48:43,CUSTOMER,CUST00077,Luis Matthews,Perfect! It worked now. Thank you very much for the support!,COMMENT,EMAIL,
INT00000088,TKT000018,2026-01-01 20:44:34,AGENT,AGENT023,Rachel Allen,I understand your frustration. I will check this immediately for you.,COMMENT,EMAIL,
INT00000089,TKT000019,2025-12-11 05:33:22,CUSTOMER,CUST00286,Kristen Hall,I made sales on 12/09/2025 totaling $3637.5 and the amount was not credited to my account.,COMMENT,PORTAL,
INT00000090,TKT000019,2025-12-12 05:04:26,CUSTOMER,CUST00286,Kristen Hall,Perfect! It worked now. Thank you very much for the support!,COMMENT,PORTAL,
INT00000091,TKT000019,2025-12-12 14:28:18,CUSTOMER,CUST00286,Kristen Hall,But it has been 3 days since I have had this problem! I need speed!,COMMENT,PORTAL,
INT00000092,TKT000019,2025-12-13 09:21:58,CUSTOMER,CUST00286,Kristen Hall,But it has been 3 days since I have had this problem! I need speed!,COMMENT,PORTAL,
INT00000093,TKT000019,2025-12-13 13:59:44,CUSTOMER,CUST00286,Kristen Hall,I cannot follow these instructions. Can you do it remotely?,COMMENT,PORTAL,
INT00000094,TKT000020,2025-12-24 22:10:22,CUSTOMER,CUST00138,Brandon Hall II,The payment terminal model X900 is not powering on. I tried charging the battery but it still does not work.,COMMENT,CHAT,
INT00000095,TKT000020,2025-12-25 17:58:27,AGENT,AGENT025,Melissa King,The problem is related to your equipment. I will request a replacement.,COMMENT,CHAT,
INT00000096,TKT000020,2025-12-25 20:43:10,CUSTOMER,CUST00138,Brandon Hall II,This does not solve my problem. I want to speak with a supervisor.,COMMENT,CHAT,
INT00000097,TKT000020,2025-12-26 13:40:48,AGENT,AGENT025,Melissa King,I checked your registration and identified the inconsistency. I will correct it.,COMMENT,CHAT,
INT00000098,TKT000020,2025-12-27 03:08:29,CUSTOMER,CUST00138,Brandon Hall II,Excellent service! Problem solved.,COMMENT,CHAT,
INT00000099,TKT000020,2025-12-27 05:58:10,AGENT,AGENT025,Melissa King,Hello! Thank you for contacting us. I'm already looking into your case.,COMMENT,CHAT,
INT00000100,TKT000020,2025-12-29 23:59:34,AGENT,AGENT025,Melissa King,Ticket resolved and closed. Thank you!,STATUS_CHANGE,CHAT,
INT00000101,TKT000021,2025-08-21 14:01:22,CUSTOMER,CUST00098,Nicole Marquez,I made a sale of $2446.71 but the receipt was not printed. Customer is asking for a receipt.,COMMENT,PORTAL,
INT00000102,TKT000021,2025-08-21 21:59:44,AGENT,AGENT007,Amanda White,I sent the instructions by email. Please follow the step-by-step guide.,COMMENT,PORTAL,
INT00000103,TKT000021,2025-08-22 02:44:29,CUSTOMER,CUST00098,Nicole Marquez,You can cancel. I already solved it another way.,COMMENT,PORTAL,
INT00000104,TKT000022,2025-12-11 06:29:22,CUSTOMER,CUST00239,Michael Harris,I made sales on 12/08/2025 totaling $5371.76 and the amount was not credited to my account.,COMMENT,CHAT,
INT00000105,TKT000022,2025-12-11 20:57:46,AGENT,AGENT024,Andrew Young,I sent the instructions by email. Please follow the step-by-step guide.,COMMENT,CHAT,
INT00000106,TKT000022,2025-12-12 08:40:09,CUSTOMER,CUST00239,Michael Harris,"Ok, I tested it and it still has the same error. What should I do?",COMMENT,CHAT,
INT00000107,TKT000022,2025-12-12 15:15:25,AGENT,AGENT024,Andrew Young,I have processed the requested refund. The amount will be credited within 2 business days.,COMMENT,CHAT,
INT00000108,TKT000022,2025-12-13 08:31:04,CUSTOMER,CUST00239,Michael Harris,"Ok, I tested it and it still has the same error. What should I do?",COMMENT,CHAT,
INT00000109,TKT000022,2025-12-13 12:22:14,AGENT,AGENT024,Andrew Young,Your request has been completed successfully. Is there anything else I can help you with?,COMMENT,CHAT,
INT00000110,TKT000023,2025-11-10 17:32:22,CUSTOMER,CUST00114,Angie Grimes,I am very dissatisfied with the service. I have opened 5 tickets and no one has solved my problem.,COMMENT,LIVE_CHAT,
INT00000111,TKT000023,2025-11-11 00:19:21,AGENT,AGENT008,Christopher Lee,This request needs to be approved by the manager. Please wait for a response within 24 hours.,COMMENT,LIVE_CHAT,
INT00000112,TKT000023,2025-11-11 17:26:56,CUSTOMER,CUST00114,Angie Grimes,Perfect! It worked now. Thank you very much for the support!,COMMENT,LIVE_CHAT,
INT00000113,TKT000023,2025-11-12 09:53:13,AGENT,AGENT008,Christopher Lee,I sent the instructions by email. Please follow the step-by-step guide.,COMMENT,LIVE_CHAT,
INT00000114,TKT000023,2025-11-13 02:59:47,CUSTOMER,CUST00114,Angie Grimes,"Ok, I tested it and it still has the same error. What should I do?",COMMENT,LIVE_CHAT,
INT00000115,TKT000023,2025-11-13 13:48:43,AGENT,AGENT008,Christopher Lee,This request needs to be approved by the manager. Please wait for a response within 24 hours.,COMMENT,LIVE_CHAT,
INT00000116,TKT000023,2025-11-14 09:04:33,CUSTOMER,CUST00114,Angie Grimes,You can cancel. I already solved it another way.,COMMENT,LIVE_CHAT,
INT00000117,TKT000024,2026-01-02 02:02:22,CUSTOMER,CUST00173,Donna Reed,I need help configuring and processing mobile payments on the terminal.,COMMENT,PORTAL,
INT00000118,TKT000024,2026-01-02 09:01:16,AGENT,AGENT024,Andrew Young,I sent the instructions by email. Please follow the step-by-step guide.,COMMENT,PORTAL,
INT00000119,TKT000024,2026-01-02 21:45:18,CUSTOMER,CUST00173,Donna Reed,Perfect! It worked now. Thank you very much for the support!,COMMENT,PORTAL,
INT00000120,TKT000024,2026-01-03 05:25:37,AGENT,AGENT024,Andrew Young,I understand your frustration. I will check this immediately for you.,COMMENT,PORTAL,
INT00000121,TKT000024,2026-01-03 06:53:22,AGENT,AGENT024,Andrew Young,Ticket resolved and closed. Thank you!,STATUS_CHANGE,PORTAL,
INT00000122,TKT000025,2025-11-04 04:40:22,CUSTOMER,CUST00025,Thomas Smith,The card reader is not working. I tried cleaning it but the problem persists.,COMMENT,EMAIL,
INT00000123,TKT000025,2025-11-04 14:43:33,AGENT,AGENT005,Jennifer Martinez,This request needs to be approved by the manager. Please wait for a response within 24 hours.,COMMENT,EMAIL,
INT00000124,TKT000025,2025-11-05 11:05:20,CUSTOMER,CUST00025,Thomas Smith,But it has been 3 days since I have had this problem! I need speed!,COMMENT,EMAIL,
INT00000125,TKT000025,2025-11-05 13:23:29,AGENT,AGENT005,Jennifer Martinez,I have applied the fix. Could you confirm if it is working now?,COMMENT,EMAIL,
INT00000126,TKT000026,2025-11-28 17:48:22,CUSTOMER,CUST00248,Sophia Hall,I am very dissatisfied with the service. I have opened 5 tickets and no one has solved my problem.,COMMENT,EMAIL,
INT00000127,TKT000026,2025-11-28 22:11:10,CUSTOMER,CUST00248,Sophia Hall,Thank you for the response. I will wait for the solution.,COMMENT,EMAIL,
INT00000128,TKT000027,2025-10-26 12:42:22,CUSTOMER,CUST00221,Brittany Campbell,I have been waiting for 42 minutes to be served. This is unacceptable!,COMMENT,LIVE_CHAT,
INT00000129,TKT000027,2025-10-27 06:40:34,AGENT,AGENT020,Matthew Robinson,I have processed the requested refund. The amount will be credited within 2 business days.,COMMENT,LIVE_CHAT,
INT00000130,TKT000028,2025-12-07 19:34:22,CUSTOMER,CUST00236,Ellen Thornton,I made sales on 12/06/2025 totaling $6710.49 and the amount was not credited to my account.,COMMENT,EMAIL,
INT00000131,TKT000028,2025-12-08 15:04:08,AGENT,AGENT003,Emily Rodriguez,Hello! Thank you for contacting us. I'm already looking into your case.,COMMENT,EMAIL,
INT00000132,TKT000028,2025-12-09 14:10:47,CUSTOMER,CUST00236,Ellen Thornton,How long will it take? I am losing sales!,COMMENT,EMAIL,
INT00000133,TKT000028,2025-12-10 06:35:24,AGENT,AGENT003,Emily Rodriguez,I was able to identify the problem. I will forward it to the technical team.,COMMENT,EMAIL,
INT00000134,TKT000028,2025-12-10 18:21:43,CUSTOMER,CUST00236,Ellen Thornton,You can cancel. I already solved it another way.,COMMENT,EMAIL,
INT00000135,TKT000028,2025-12-10 11:36:10,AGENT,AGENT003,Emily Rodriguez,Ticket resolved and closed. Thank you!,STATUS_CHANGE,EMAIL,
INT00000136,TKT000029,2025-12-08 13:51:22,CUSTOMER,CUST00170,Christopher Taylor,I am very dissatisfied with the service. I have opened 2 tickets and no one has solved my problem.,COMMENT,EMAIL,
INT00000137,TKT000029,2025-12-09 13:48:28,AGENT,AGENT023,Rachel Allen,I have processed the requested refund. The amount will be credited within 2 business days.,COMMENT,EMAIL,
INT00000138,TKT000029,2025-12-10 06:42:29,CUSTOMER,CUST00170,Christopher Taylor,How long will it take? I am losing sales!,COMMENT,EMAIL,
INT00000139,TKT000029,2025-12-10 07:32:05,AGENT,AGENT023,Rachel Allen,I have applied the fix. Could you confirm if it is working now?,COMMENT,EMAIL,
INT00000140,TKT000029,2025-12-11 05:26:26,CUSTOMER,CUST00170,Christopher Taylor,Thank you for the response. I will wait for the solution.,COMMENT,EMAIL,
INT00000141,TKT000029,2025-12-11 22:43:24,AGENT,AGENT023,Rachel Allen,I have processed the requested refund. The amount will be credited within 2 business days.,COMMENT,EMAIL,
INT00000142,TKT000029,2025-12-12 16:50:26,CUSTOMER,CUST00170,Christopher Taylor,Perfect! It worked now. Thank you very much for the support!,COMMENT,EMAIL,
INT00000143,TKT000030,2025-10-04 23:06:22,CUSTOMER,CUST00144,Sara Hernandez,The payment terminal model X900 is not powering on. I tried charging the battery but it still does not work.,COMMENT,LIVE_CHAT,
INT00000144,TKT000030,2025-10-05 15:08:37,AGENT,AGENT001,Sarah Johnson,I have processed the requested refund. The amount will be credited within 2 business days.,COMMENT,LIVE_CHAT,
INT00000145,TKT000030,2025-10-06 07:43:10,CUSTOMER,CUST00144,Sara Hernandez,Thank you for the response. I will wait for the solution.,COMMENT,LIVE_CHAT,
INT00000146,TKT000030,2025-10-06 22:29:34,AGENT,AGENT001,Sarah Johnson,I was able to identify the problem. I will forward it to the technical team.,COMMENT,LIVE_CHAT,
INT00000147,TKT000030,2025-10-07 14:50:38,CUSTOMER,CUST00144,Sara Hernandez,You can cancel. I already solved it another way.,COMMENT,LIVE_CHAT,
INT00000148,TKT000030,2025-10-08 12:35:00,AGENT,AGENT001,Sarah Johnson,I was able to identify the problem. I will forward it to the technical team.,COMMENT,LIVE_CHAT,
INT00000149,TKT000030,2025-10-08 14:50:55,CUSTOMER,CUST00144,Sara Hernandez,"Ok, I tested it and it still has the same error. What should I do?",COMMENT,LIVE_CHAT,
INT00000150,TKT000031,2026-01-03 05:05:22,CUSTOMER,CUST00289,Gabriela Randolph,I have been waiting for 99 minutes to be served. This is unacceptable!,COMMENT,PORTAL,
INT00000151,TKT000031,2026-01-03 13:53:30,AGENT,AGENT005,Jennifer Martinez,Hello! Thank you for contacting us. I'm already looking into your case.,COMMENT,PORTAL,
INT00000152,TKT000031,2026-01-04 00:19:32,CUSTOMER,CUST00289,Gabriela Randolph,How long will it take? I am losing sales!,COMMENT,PORTAL,
INT00000153,TKT000031,2026-01-04 04:49:55,AGENT,AGENT005,Jennifer Martinez,I understand your frustration. I will check this immediately for you.,COMMENT,PORTAL,
INT00000154,TKT000031,2026-01-04 13:16:27,CUSTOMER,CUST00289,Gabriela Randolph,Perfect! It worked now. Thank you very much for the support!,COMMENT,PORTAL,
INT00000155,TKT000031,2026-01-05 09:19:11,AGENT,AGENT005,Jennifer Martinez,I understand your frustration. I will check this immediately for you.,COMMENT,PORTAL,
INT00000156,TKT000032,2025-12-19 15:27:22,CUSTOMER,CUST00051,Christopher Lewis,The system has been down since 17am and I am losing sales. I need an urgent solution!,COMMENT,LIVE_CHAT,
INT00000157,TKT000032,2025-12-19 22:59:12,AGENT,AGENT025,Melissa King,I checked your registration and identified the inconsistency. I will correct it.,COMMENT,LIVE_CHAT,
INT00000158,TKT000032,2025-12-20 05:42:30,CUSTOMER,CUST00051,Christopher Lewis,Thank you for the response. I will wait for the solution.,COMMENT,LIVE_CHAT,
INT00000159,TKT000032,2025-12-20 23:33:07,AGENT,AGENT025,Melissa King,Your request has been completed successfully. Is there anything else I can help you with?,COMMENT,LIVE_CHAT,
INT00000160,TKT000032,2025-12-19 20:54:58,AGENT,AGENT025,Melissa King,Ticket resolved and closed. Thank you!,STATUS_CHANGE,LIVE_CHAT,
INT00000161,TKT000033,2025-12-19 20:11:22,CUSTOMER,CUST00193,Cassandra Valenzuela,I need help configuring and processing mobile payments on the terminal.,COMMENT,PHONE,
INT00000162,TKT000033,2025-12-20 01:47:59,AGENT,AGENT010,Daniel Garcia,I checked your registration and identified the inconsistency. I will correct it.,COMMENT,PHONE,
INT00000163,TKT000033,2025-12-21 00:08:02,CUSTOMER,CUST00193,Cassandra Valenzuela,You can cancel. I already solved it another way.,COMMENT,PHONE,
INT00000164,TKT000033,2025-12-21 20:02:18,AGENT,AGENT010,Daniel Garcia,Hello! Thank you for contacting us. I'm already looking into your case.,COMMENT,PHONE,
INT00000165,TKT000033,2025-12-22 18:31:14,CUSTOMER,CUST00193,Cassandra Valenzuela,Excellent service! Problem solved.,COMMENT,PHONE,
INT00000166,TKT000034,2025-11-10 07:25:22,CUSTOMER,CUST00079,Lance Hebert,"I am experiencing connection problems with the terminal. It shows ""Communication failure"" error every time I try to process a payment.",COMMENT,CHAT,
INT00000167,TKT000034,2025-11-10 19:23:49,CUSTOMER,CUST00079,Lance Hebert,This does not solve my problem. I want to speak with a supervisor.,COMMENT,CHAT,
INT00000168,TKT000034,2025-11-10 20:02:07,CUSTOMER,CUST00079,Lance Hebert,Understood. I will wait for the response then.,COMMENT,CHAT,
INT00000169,TKT000034,2025-11-11 04:15:23,CUSTOMER,CUST00079,Lance Hebert,This does not solve my problem. I want to speak with a supervisor.,COMMENT,CHAT,
