customer_id,company_id,customer_name,email,ssn,birth_date,phone,role,created_at
CUST00015,COMP00071,Cody Williams,ewilson@example.com,176-30-1043,1980-03-13,001-802-529-4131,FINANCIAL,2024-04-16 00:00:00
CUST00016,COMP00058,Jamie Kerr,michelle64@example.net,805-86-8699,1985-07-01,+1-213-834-1232x812,OPERATOR,2025-10-17 00:00:00
CUST00017,COMP00005,Kirk Carter,keithcampbell@example.com,337-46-5632,1962-12-14,649.436.1832,FINANCIAL,2023-09-05 00:00:00
CUST00018,COMP00010,Christopher Parker,scott74@example.net,803-39-5334,1976-07-15,288-377-1906x594,IT_MANAGER,2024-08-07 00:00:00
CUST00019,COMP00085,Michael Valencia,keyemily@example.com,923-35-7965,1983-08-30,001-727-787-4296x71756,OWNER,2024-11-11 00:00:00
CUST00020,COMP00070,Shannon Rivera,zroberts@example.net,330-92-3441,1961-07-16,954-851-6808,OPERATOR,2024-06-20 00:00:00
CUST00021,COMP00019,Joseph Dean,wgarrett@example.org,173-17-3718,1968-05-19,+1-424-677-1093,OPERATOR,2022-12-16 00:00:00
CUST00022,COMP00077,Kristen Davis,murraydavid@example.org,866-82-5728,1980-06-20,001-548-446-7737x826,FINANCIAL,2024-02-20 00:00:00
CUST00023,COMP00016,Desiree Tyler,ymorgan@example.net,579-98-5982,1970-12-28,9447997278,FINANCIAL,2021-10-22 00:00:00
CUST00024,COMP00035,Phillip Bennett,molly39@example.com,612-79-9090,1969-08-11,001-360-957-6627x02895,FINANCIAL,2022-06-28 00:00:00
CUST00025,COMP00011,Thomas Smith,robertpena@example.org,712-15-8078,1963-02-07,359-561-5865x780,OPERATOR,2022-06-02 00:00:00
CUST00026,COMP00078,Tammie Bright,hamiltoncorey@example.net,356-13-2496,1988-11-23,772-740-0504,MANAGER,2024-06-24 00:00:00
CUST00027,COMP00087,David Jenkins,georgemiller@example.com,956-83-1339,1985-06-11,279.923.7474,OPERATOR,2022-11-12 00:00:00
CUST00028,COMP00074,Megan Moore,llandry@example.com,141-32-8708,1986-03-26,(647)243-6713x69594,IT_MANAGER,2022-09-01 00:00:00
CUST00029,COMP00084,Mary Hill,lozanojulie@example.com,552-45-3973,1991-11-04,295.633.9421,IT_MANAGER,2025-05-11 00:00:00
CUST00030,COMP00056,Amanda Diaz,christopherphillips@example.net,750-72-2494,1977-01-26,928.658.8424,FINANCIAL,2023-03-24 00:00:00
CUST00031,COMP00045,Gina Wilson,taylortammy@example.net,518-52-6260,1989-09-23,(885)716-0481x7549,OWNER,2021-08-12 00:00:00
CUST00032,COMP00021,David Johnson,rose31@example.net,437-62-9117,1993-10-25,001-446-812-0047x113,OPERATOR,2025-05-17 00:00:00
CUST00033,COMP00085,Michael Paul,umatthews@example.org,510-80-1601,1996-05-03,+1-317-796-4053x7735,FINANCIAL,2024-11-11 00:00:00
CUST00034,COMP00012,Vanessa Howard,hhill@example.com,422-42-6296,1963-10-17,390.505.3293,OWNER,2024-06-22 00:00:00
CUST00035,COMP00099,Robin Hall,kristinacarlson@example.com,513-75-1018,1995-03-26,(728)542-1020,IT_MANAGER,2025-06-14 00:00:00
CUST00036,COMP00060,Alexis Baker,judyfox@example.net,523-16-4073,1962-08-22,958.291.7839x084,IT_MANAGER,2021-09-27 00:00:00
CUST00037,COMP00047,John Morales,henryrenee@example.org,737-73-8242,1996-11-27,992-812-4998x56984,OWNER,2022-09-21 00:00:00
CUST00038,COMP00027,Michael Farrell,russellbeasley@example.com,373-80-3146,1973-12-06,366.315.6545x271,OPERATOR,2023-08-07 00:00:00
CUST00039,COMP00057,Brent Rodgers,angelawillis@example.net,815-72-2989,1983-01-24,+1-416-956-0494x51983,OWNER,2024-11-13 00:00:00
CUST00040,COMP00081,Brian Bruce,danny49@example.org,723-40-3594,1993-02-17,+1-699-680-9402,OPERATOR,2025-06-12 00:00:00
CUST00041,COMP00071,Heather White,ashleymorales@example.org,114-80-7684,1990-06-01,7186366752,OWNER,2024-04-16 00:00:00
CUST00042,COMP00029,Paula Bradley,wareeric@example.net,961-24-8560,1962-01-28,547-367-9764,OWNER,2022-06-02 00:00:00
CUST00043,COMP00083,Brian Gregory,trose@example.org,952-29-9165,1969-01-28,+1-900-834-3244x510,OPERATOR,2021-09-22 00:00:00
CUST00044,COMP00066,James Padilla,charles06@example.org,822-44-7807,1978-11-20,859-269-6641,FINANCIAL,2025-08-18 00:00:00
CUST00045,COMP00061,Carolyn Meza,xcollier@example.org,349-68-3369,1977-12-10,736-596-8164,FINANCIAL,2024-04-29 00:00:00
CUST00046,COMP00025,Christopher Dixon,schmidtjames@example.com,713-75-3236,1974-06-07,+1-923-912-4329x2127,OWNER,2021-09-19 00:00:00
CUST00047,COMP00036,Sonia Day,michelle52@example.com,891-63-6568,1962-11-01,244.790.5814x770,IT_MANAGER,2025-09-08 00:00:00
CUST00048,COMP00035,Angela Lin,gilbertwilliam@example.com,940-10-5634,1983-10-31,001-707-393-5978x2071,OPERATOR,2022-06-28 00:00:00
CUST00049,COMP00076,Carrie Wright,hritter@example.net,693-94-9022,1985-01-14,(854)666-5905x151,MANAGER,2025-02-05 00:00:00
CUST00050,COMP00058,Samuel Brandt,mathewaguilar@example.org,651-71-6654,1997-08-16,762-291-4865x2816,OPERATOR,2025-10-17 00:00:00
CUST00051,COMP00071,Christopher Lewis,ilee@example.org,881-79-7180,1963-03-14,888-480-5929,FINANCIAL,2024-04-16 00:00:00
CUST00052,COMP00042,Ronald Wise,jenniferwilliams@example.com,990-34-4912,1987-10-08,979.547.3834,IT_MANAGER,2023-11-23 00:00:00
CUST00053,COMP00050,Travis Joyce,xhammond@example.com,339-62-1715,1980-08-27,(323)492-4075x81814,OPERATOR,2023-03-13 00:00:00
CUST00054,COMP00096,Taylor Hernandez,odavis@example.com,584-58-7325,1996-04-22,7605685361,MANAGER,2023-07-21 00:00:00
CUST00055,COMP00064,Timothy Combs,lacey20@example.com,137-26-9229,1997-08-25,827.379.0104x3289,IT_MANAGER,2024-07-13 00:00:00
CUST00056,COMP00043,Cynthia Martinez,robertbauer@example.com,990-22-8213,1962-08-11,598.808.9324x6095,OWNER,2021-04-22 00:00:00
CUST00057,COMP00068,Michael Mills,carlos88@example.net,567-11-3361,1992-04-12,380.767.0654x05153,FINANCIAL,2022-04-12 00:00:00
CUST00058,COMP00084,Harold Morgan,mariacohen@example.net,258-19-8692,1979-08-28,(221)770-4303,OPERATOR,2025-05-11 00:00:00
CUST00059,COMP00044,Kaylee Hays,wking@example.net,738-98-7512,1967-11-14,(905)941-5667x652,OWNER,2022-08-09 00:00:00
CUST00060,COMP00043,Robert Adams,acostachristian@example.net,972-96-9742,2000-11-01,(984)851-1544,FINANCIAL,2021-04-22 00:00:00
CUST00061,COMP00041,Jeremy West,christina64@example.net,741-72-9864,2000-03-20,9162582029,OWNER,2021-07-22 00:00:00
CUST00062,COMP00080,David Brewer,patrick90@example.net,170-40-5708,1966-04-29,555.371.9285x654,MANAGER,2023-02-06 00:00:00
CUST00063,COMP00096,Cody Holmes,greenjorge@example.com,192-65-2612,1968-10-31,+1-747-331-2172x715,OWNER,2023-07-21 00:00:00
CUST00064,COMP00057,Donna Evans,jenniferho@example.net,270-98-5906,1967-03-05,(783)913-2370x589,OWNER,2024-11-13 00:00:00
CUST00065,COMP00006,Kristen Salazar,jonesraymond@example.net,432-17-5806,1989-07-05,466.491.2517x78528,OPERATOR,2024-12-31 00:00:00
CUST00066,COMP00048,Thomas Brown,holmeskevin@example.org,541-28-5000,1973-04-07,001-335-484-1438x424,IT_MANAGER,2024-04-26 00:00:00
CUST00067,COMP00053,Lauren Jackson,megan90@example.org,679-97-3950,1963-05-14,+1-594-839-6907x8447,MANAGER,2025-08-01 00:00:00
CUST00068,COMP00023,Benjamin Brown,dperry@example.org,180-88-7267,1973-12-25,(355)756-2588,IT_MANAGER,2023-11-14 00:00:00
CUST00069,COMP00088,Bryan Cole,colinroberts@example.com,346-73-3344,1995-06-20,(232)359-5327x87747,MANAGER,2021-12-13 00:00:00
CUST00070,COMP00060,Kathy Levy,brandywilliams@example.com,753-42-8529,1980-04-29,+1-874-280-1624x5650,OPERATOR,2021-09-27 00:00:00
CUST00071,COMP00086,Chloe Tran,hughesshannon@example.net,109-69-5712,1971-07-04,+1-891-221-6558x523,IT_MANAGER,2025-01-02 00:00:00
CUST00072,COMP00021,Chad Cook,jstone@example.net,175-66-6661,1996-08-27,(759)952-6949,IT_MANAGER,2025-05-17 00:00:00
CUST00073,COMP00039,Elizabeth Cabrera,mark16@example.net,754-64-5097,1972-08-25,001-809-474-9930x9728,FINANCIAL,2025-10-09 00:00:00
CUST00074,COMP00039,Dana Armstrong,leescott@example.com,303-59-8916,1966-03-30,001-936-889-7028x385,OWNER,2025-10-09 00:00:00
CUST00075,COMP00031,Christopher Barr,amy49@example.com,490-83-6881,1967-12-02,748.943.4437,IT_MANAGER,2023-06-29 00:00:00
CUST00076,COMP00038,Timothy Pope,keith98@example.com,816-47-1359,1996-10-05,(652)640-4157x4733,FINANCIAL,2023-09-13 00:00:00
CUST00077,COMP00036,Luis Matthews,brentstein@example.org,108-82-1803,1986-03-11,4168571208,IT_MANAGER,2025-09-08 00:00:00
CUST00078,COMP00096,Shirley Alvarez,katelynmitchell@example.com,608-46-4770,1986-07-08,001-219-238-0262x06724,IT_MANAGER,2023-07-21 00:00:00
CUST00079,COMP00046,Lance Hebert,justin88@example.com,324-91-4115,1996-06-30,(687)443-1527,IT_MANAGER,2022-12-27 00:00:00
CUST00080,COMP00033,George Phillips,gregorychase@example.com,794-94-3240,1993-12-10,951.661.2275x30463,OWNER,2023-08-25 00:00:00
CUST00081,COMP00081,Elizabeth Sharp,greenmichael@example.org,761-15-6061,1962-08-01,774-526-8414,FINANCIAL,2025-06-12 00:00:00
CUST00082,COMP00005,Casey Hernandez,robert87@example.net,693-56-3153,1992-12-01,339.218.7851,OWNER,2023-09-05 00:00:00
CUST00083,COMP00038,Stephanie Harris,franklinbond@example.com,434-63-3877,1964-10-19,897.918.7072,MANAGER,2023-09-13 00:00:00
CUST00084,COMP00017,Kristin Chambers,jennifer64@example.org,905-79-6994,1990-08-13,001-910-265-1801,IT_MANAGER,2025-07-30 00:00:00
CUST00085,COMP00065,Christopher Taylor,ybrooks@example.com,379-31-5210,1995-09-10,(261)282-5128x6823,FINANCIAL,2024-04-23 00:00:00
CUST00086,COMP00038,Julie Ball,opatel@example.org,864-53-2886,1978-12-03,(543)310-6903,FINANCIAL,2023-09-13 00:00:00
CUST00087,COMP00010,Andrew Harper,sanchezbradley@example.com,244-38-7511,1969-08-23,702.584.3959,IT_MANAGER,2024-08-07 00:00:00
CUST00088,COMP00047,Charles Keller,roberthill@example.net,192-60-1228,1998-12-05,001-626-887-0568x5662,OPERATOR,2022-09-21 00:00:00
CUST00089,COMP00069,Joshua Allen,kevinzimmerman@example.com,226-68-7038,1997-07-17,+1-566-788-2634,OPERATOR,2022-10-19 00:00:00
CUST00090,COMP00075,Tammy Boone,nicholsmaria@example.org,490-91-7086,1971-01-16,+1-599-501-3983x73540,OWNER,2025-06-24 00:00:00
CUST00091,COMP00087,Autumn Key,srocha@example.net,339-70-1410,1988-11-21,(938)954-6785x4458,IT_MANAGER,2022-11-12 00:00:00
CUST00092,COMP00072,William Harrison,robin55@example.com,435-88-4626,1961-11-28,420.548.9964,OWNER,2021-08-16 00:00:00
CUST00093,COMP00082,James Whitaker,rpierce@example.com,943-69-5951,1970-08-02,277.325.2287x2808,FINANCIAL,2021-06-19 00:00:00
CUST00094,COMP00015,Mary Duran,otaylor@example.org,243-15-1609,1962-10-27,(903)987-5099,OPERATOR,2024-04-20 00:00:00
CUST00095,COMP00064,Joseph Jenkins,morenojoshua@example.com,218-22-4846,1960-09-26,001-762-611-8233x984,IT_MANAGER,2024-07-13 00:00:00
CUST00096,COMP00018,Angela Chung,scunningham@example.org,497-68-7078,1972-05-02,201-466-6870,IT_MANAGER,2024-10-30 00:00:00
CUST00097,COMP00054,Ryan Newman,ariel18@example.org,701-29-7797,1969-06-15,001-297-540-1489x025,OWNER,2023-05-11 00:00:00
CUST00098,COMP00063,Nicole Marquez,thickman@example.org,730-62-5583,1983-02-27,001-268-356-2185,OWNER,2023-10-12 00:00:00
CUST00099,COMP00089,Ryan Peterson,unovak@example.org,479-37-8264,1986-01-13,673.558.6629x619,FINANCIAL,2025-04-23 00:00:00
CUST00100,COMP00031,Angela Moore,jodistewart@example.org,975-56-2627,1963-10-15,875-341-2126x7888,OPERATOR,2023-06-29 00:00:00
CUST00101,COMP00070,Hector Davis,michelle04@example.com,760-55-1992,1975-12-08,683-698-2622,FINANCIAL,2024-06-20 00:00:00
CUST00102,COMP00036,Charles Jackson,robert71@example.com,294-25-8450,1970-05-10,279.893.7124,OWNER,2025-09-08 00:00:00
CUST00103,COMP00085,Manuel Brock,scott69@example.org,317-92-1349,1972-05-09,+1-837-652-6547x935,OWNER,2024-11-11 00:00:00
CUST00104,COMP00043,Jenna Wilson,brittanygardner@example.net,349-26-4362,1991-07-05,6735741672,OWNER,2021-04-22 00:00:00
CUST00105,COMP00098,Christian Henderson,mjones@example.com,667-36-4538,1983-11-28,+1-386-580-5891,MANAGER,2022-08-08 00:00:00
CUST00106,COMP00043,Heather Holland,hartdeanna@example.net,892-28-1046,1976-06-02,001-956-710-1438x88993,OPERATOR,2021-04-22 00:00:00
CUST00107,COMP00019,Raymond Chapman,michaeljohnson@example.org,233-79-5106,1972-02-24,912-754-5738,MANAGER,2022-12-16 00:00:00
CUST00108,COMP00015,Jeffrey Horton,carlos01@example.org,776-13-3159,1994-11-08,+1-812-438-2825x8673,OWNER,2024-04-20 00:00:00
CUST00109,COMP00046,Matthew Foster,shannonjordan@example.org,908-40-6304,1988-12-06,541.991.8255,OWNER,2022-12-27 00:00:00
CUST00110,COMP00023,Michael Burns,candice96@example.net,371-16-3076,1964-09-19,(679)324-9912x513,FINANCIAL,2023-11-14 00:00:00
CUST00111,COMP00068,Michael Dixon,kcarlson@example.com,216-18-8802,1977-05-19,782.282.7422x5790,FINANCIAL,2022-04-12 00:00:00
CUST00112,COMP00100,Mr. James Hoffman,fortiz@example.com,470-75-2786,1989-02-25,672.419.0340x438,FINANCIAL,2022-06-06 00:00:00
CUST00113,COMP00065,Krystal Barton,hdunn@example.net,326-88-1710,1964-09-19,001-685-780-7836x13407,IT_MANAGER,2024-04-23 00:00:00
CUST00114,COMP00039,Angie Grimes,rowejoel@example.net,569-92-1510,1984-02-21,(696)429-2330x958,OWNER,2025-10-09 00:00:00
CUST00115,COMP00062,Michael Roberts,stephanie81@example.org,967-61-7984,1999-07-06,(804)822-3253x67294,OWNER,2022-03-08 00:00:00
CUST00116,COMP00063,Mark Beard,powellkara@example.net,829-66-2204,1998-06-05,(577)859-0175x186,OWNER,2023-10-12 00:00:00
CUST00117,COMP00042,Kathleen Morris,matthew92@example.net,722-28-2076,1994-12-26,600-417-0127x70632,MANAGER,2023-11-23 00:00:00
CUST00118,COMP00036,Sherri Davis,john52@example.org,739-91-9984,1976-04-14,936-211-0371x2938,OPERATOR,2025-09-08 00:00:00
CUST00119,COMP00049,Greg Martinez,ebenson@example.org,711-77-5831,1969-06-03,411-355-4262,FINANCIAL,2025-04-05 00:00:00
CUST00120,COMP00065,Alejandra Santos,nbell@example.net,719-65-2624,1990-09-19,(597)631-1219x65652,OWNER,2024-04-23 00:00:00
CUST00121,COMP00084,Danielle Burke,kimberly04@example.org,766-80-4522,1981-04-06,236.740.3761x37918,FINANCIAL,2025-05-11 00:00:00
CUST00122,COMP00058,Bonnie Valencia,rdiaz@example.org,333-62-6553,1991-04-23,001-810-891-0430x06848,FINANCIAL,2025-10-17 00:00:00
CUST00123,COMP00052,Angela Herrera,joshuacollins@example.net,525-22-6120,1997-10-17,(285)569-1463,FINANCIAL,2021-06-10 00:00:00
CUST00124,COMP00041,Jeffrey Chavez,parkerjudith@example.net,781-42-7132,1967-03-28,4207275884,MANAGER,2021-07-22 00:00:00
CUST00125,COMP00088,Richard Adams,wiseanthony@example.com,585-18-2494,1971-03-10,949-417-7850,OWNER,2021-12-13 00:00:00
CUST00126,COMP00012,David Garcia,perezwilliam@example.org,542-22-7105,1995-03-30,8305756220,MANAGER,2024-06-22 00:00:00
CUST00127,COMP00072,Jason Cortez,margaret95@example.org,161-85-6400,1980-08-14,6237806174,OWNER,2021-08-16 00:00:00
CUST00128,COMP00053,Jesus Wood,anne49@example.org,462-95-7929,1979-01-21,001-573-783-2060,OWNER,2025-08-01 00:00:00
CUST00129,COMP00037,Melissa Smith,aaron64@example.org,714-49-6761,1968-06-12,867.702.4103,OWNER,2025-11-03 00:00:00
CUST00130,COMP00074,Paul Carpenter,danafoster@example.net,619-37-3535,1983-04-26,(423)344-5655x74313,FINANCIAL,2022-09-01 00:00:00
CUST00131,COMP00029,Christopher Owens,wmartinez@example.org,967-23-6736,1978-07-25,541.712.4903x521,IT_MANAGER,2022-06-02 00:00:00
CUST00132,COMP00048,Anthony Evans,anthonysullivan@example.com,217-45-4705,1982-10-30,+1-531-471-2100,FINANCIAL,2024-04-26 00:00:00
CUST00133,COMP00072,James Parks,aguilarjonathan@example.org,885-89-1430,1960-12-05,237-421-5107,IT_MANAGER,2021-08-16 00:00:00
CUST00134,COMP00085,Jessica Ramsey,rjohnson@example.com,949-98-5381,1967-02-13,524.647.2099,OWNER,2024-11-11 00:00:00
CUST00135,COMP00024,Dr. John Miller MD,zgonzalez@example.net,379-99-6062,1970-04-02,+1-706-857-8759,OPERATOR,2023-07-02 00:00:00
CUST00136,COMP00045,Alexander Harper,huangkimberly@example.org,106-33-3347,1993-03-11,885.793.2133x4803,IT_MANAGER,2021-08-12 00:00:00
CUST00137,COMP00085,Wendy Thompson,brittanydrake@example.net,510-18-3324,1974-09-30,001-605-499-2937,OWNER,2024-11-11 00:00:00
CUST00138,COMP00012,Brandon Hall II,nsmith@example.org,864-77-4524,1993-02-06,325-700-2921x85156,FINANCIAL,2024-06-22 00:00:00
CUST00139,COMP00054,Chad Moore,fconner@example.net,564-53-3578,1973-01-16,001-289-853-9264x422,OPERATOR,2023-05-11 00:00:00
CUST00140,COMP00040,Patricia Bradley,carriemccall@example.net,838-51-2391,1969-02-03,001-417-325-1355,OWNER,2022-12-12 00:00:00
CUST00141,COMP00020,Meagan Daniel,sean43@example.org,261-89-1815,1988-06-16,(741)800-6762x676,OWNER,2025-05-02 00:00:00
CUST00142,COMP00035,John Shields,franciscojones@example.org,553-94-7947,1972-02-16,941-215-2621x81599,FINANCIAL,2022-06-28 00:00:00
CUST00143,COMP00078,Matthew Lawson,gmoore@example.com,552-63-5475,1968-06-18,268.884.4431,MANAGER,2024-06-24 00:00:00
CUST00144,COMP00097,Sara Hernandez,adam14@example.net,624-24-6655,1985-08-31,931.603.2417x1467,FINANCIAL,2021-12-08 00:00:00
CUST00145,COMP00015,Joshua Lopez,cwood@example.org,390-96-8972,1970-10-31,543.249.0211x586,IT_MANAGER,2024-04-20 00:00:00
CUST00146,COMP00086,Sabrina Barnes,parmstrong@example.com,415-15-4612,1972-04-15,(508)498-9921x7223,FINANCIAL,2025-01-02 00:00:00
CUST00147,COMP00077,Blake Vega,wendyburton@example.net,156-10-4349,1970-08-11,001-811-368-6854x8709,OPERATOR,2024-02-20 00:00:00
CUST00148,COMP00028,Charles Matthews,buckleyanna@example.org,885-27-5186,1992-04-02,+1-256-446-7997,OPERATOR,2024-05-11 00:00:00
CUST00149,COMP00042,Charles Franklin,vwilliams@example.net,222-10-9149,1969-10-10,001-674-950-5444x7132,FINANCIAL,2023-11-23 00:00:00
CUST00150,COMP00023,Erica Daniel,lopezjason@example.com,232-58-9725,1990-06-01,001-485-508-2148x62890,MANAGER,2023-11-14 00:00:00
CUST00151,COMP00065,Christina Brown,bryantsamantha@example.net,672-95-6802,1968-03-13,(978)761-0357x972,OWNER,2024-04-23 00:00:00
CUST00152,COMP00051,Ryan Green,mitchellpaul@example.org,982-15-8147,1995-01-16,001-233-533-4680x07229,OWNER,2025-04-28 00:00:00
CUST00153,COMP00059,Robert Torres,rodney65@example.com,179-50-8033,1970-05-14,648.696.9108x589,IT_MANAGER,2021-03-15 00:00:00
CUST00154,COMP00052,Karen Rogers,danielle44@example.net,826-91-7843,1989-03-11,+1-643-628-3096x5207,OPERATOR,2021-06-10 00:00:00
CUST00155,COMP00015,Jennifer Doyle,matthewreeves@example.net,514-12-6321,1981-12-15,458.742.8241x7248,MANAGER,2024-04-20 00:00:00
CUST00156,COMP00080,Courtney Walker,robert55@example.com,571-98-6928,1984-01-17,817.609.9917x381,OWNER,2023-02-06 00:00:00
CUST00157,COMP00056,Seth Hernandez,matthewbenitez@example.com,964-23-4986,1965-11-27,001-421-475-2500x743,FINANCIAL,2023-03-24 00:00:00
CUST00158,COMP00076,Phillip Miller DDS,epowell@example.com,510-77-2288,1960-03-23,+1-535-505-8300,FINANCIAL,2025-02-05 00:00:00
CUST00159,COMP00040,Haley Anderson,tgordon@example.org,863-53-4630,1962-09-17,4447789856,OPERATOR,2022-12-12 00:00:00
CUST00160,COMP00100,Katherine Christensen MD,osmith@example.net,272-19-9363,2000-06-01,609.282.1506,OWNER,2022-06-06 00:00:00
CUST00161,COMP00068,Amber Rodriguez,williamsdarrell@example.com,622-34-6724,1975-08-17,+1-647-423-0461,OPERATOR,2022-04-12 00:00:00
CUST00162,COMP00094,Steven Hunt,campbellkristen@example.com,938-92-3419,1968-03-06,948.535.6420,MANAGER,2022-09-06 00:00:00
CUST00163,COMP00014,Karen Young,powersrebecca@example.net,249-42-4232,1987-06-20,(618)911-4374,MANAGER,2022-05-05 00:00:00
CUST00164,COMP00078,Robert Sawyer,michael56@example.net,256-93-2234,1964-10-14,001-300-822-5579x41552,MANAGER,2024-06-24 00:00:00
CUST00165,COMP00099,Jesus Houston,pmarsh@example.org,743-73-8601,1964-09-02,001-702-216-9797x296,IT_MANAGER,2025-06-14 00:00:00
CUST00166,COMP00098,Sheryl Acosta,timothyfreeman@example.com,693-67-6295,1978-02-07,345-808-9935,OPERATOR,2022-08-08 00:00:00
CUST00167,COMP00020,Danielle Reed,jhernandez@example.net,550-18-8682,1962-04-10,+1-528-877-2175x3540,FINANCIAL,2025-05-02 00:00:00
CUST00168,COMP00081,David Stevens,fmiller@example.com,410-45-1920,1972-12-29,501.966.0880x1994,OPERATOR,2025-06-12 00:00:00
CUST00169,COMP00065,Heidi Brown,meganrivera@example.net,175-49-8565,1984-08-19,001-757-311-3055x488,FINANCIAL,2024-04-23 00:00:00
CUST00170,COMP00005,Christopher Taylor,nrodriguez@example.org,158-57-5703,1967-09-22,(437)935-1609x1779,OWNER,2023-09-05 00:00:00
CUST00171,COMP00083,Noah Tran,eroberson@example.net,984-21-9307,1992-01-23,(892)821-6995,FINANCIAL,2021-09-22 00:00:00
CUST00172,COMP00060,Sydney Farmer,raymond54@example.com,694-80-1672,1993-01-12,(569)584-8583,FINANCIAL,2021-09-27 00:00:00
CUST00173,COMP00074,Donna Reed,tinasantos@example.org,767-34-6267,1980-09-11,001-251-358-7996x846,IT_MANAGER,2022-09-01 00:00:00
CUST00174,COMP00061,Charles Santiago,josephfloyd@example.com,613-29-2013,1988-01-21,(504)838-0571,FINANCIAL,2024-04-29 00:00:00
CUST00175,COMP00014,Richard Lindsey,heather06@example.com,930-53-2381,1977-02-11,+1-558-500-4397x35989,IT_MANAGER,2022-05-05 00:00:00
CUST00176,COMP00083,Christopher Fleming,sydneymoss@example.org,276-15-5059,1975-07-02,(748)242-2940x57202,FINANCIAL,2021-09-22 00:00:00
CUST00177,COMP00057,Lori Cameron,tracy98@example.com,636-76-3600,1963-01-09,001-858-332-8182x688,OPERATOR,2024-11-13 00:00:00
CUST00178,COMP00048,Stephen Alvarado,michael39@example.net,389-59-7697,1979-07-04,+1-201-757-3993,OPERATOR,2024-04-26 00:00:00
CUST00179,COMP00087,Robert Wilson,amber40@example.net,712-16-6482,1993-09-28,(488)277-0435x811,OWNER,2022-11-12 00:00:00
CUST00180,COMP00043,Christine Soto,michellecoleman@example.org,196-81-7333,1968-06-18,001-661-320-7501x102,OPERATOR,2021-04-22 00:00:00
CUST00181,COMP00033,Crystal Green,zhayes@example.com,841-94-3463,1973-01-03,(618)309-1901x5814,OPERATOR,2023-08-25 00:00:00
CUST00182,COMP00011,Timothy James,wellsamanda@example.org,696-94-3317,1990-08-27,+1-342-245-0882,OPERATOR,2022-06-02 00:00:00
CUST00183,COMP00040,Kyle Medina,torreskaitlin@example.net,771-99-7421,1974-02-18,(982)322-3943x12908,MANAGER,2022-12-12 00:00:00
CUST00184,COMP00077,Austin Garcia,wlynn@example.org,825-20-6072,1987-07-24,714.691.3577,IT_MANAGER,2024-02-20 00:00:00
CUST00185,COMP00049,Brittany Knight,susan20@example.com,758-52-3093,1970-02-16,764.652.5777,IT_MANAGER,2025-04-05 00:00:00
CUST00186,COMP00012,Mr. Matthew Miller,michele28@example.org,761-95-7937,1970-10-30,+1-611-908-0996x9308,IT_MANAGER,2024-06-22 00:00:00
CUST00187,COMP00047,Brittany Long,dennis88@example.org,118-56-6060,1976-04-21,703.292.8272x29927,MANAGER,2022-09-21 00:00:00
CUST00188,COMP00028,John Brown,jim38@example.com,449-72-4145,1975-12-13,800.851.8449x892,MANAGER,2024-05-11 00:00:00
CUST00189,COMP00018,Matthew Houston,nicholas38@example.com,258-19-5846,1974-07-04,(677)590-8272x318,OWNER,2024-10-30 00:00:00
CUST00190,COMP00065,Christopher Guzman,guerrerorobert@example.com,889-79-9626,1989-07-26,477.439.2603x0299,OWNER,2024-04-23 00:00:00
